,sample size,R - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
8,1.0,0.0085 (nan%),0.0269 (nan%),0.0602 (nan%),0.1517 (nan%),0.1631 (nan%),0.1657 (nan%),0.0081 (nan%),0.0220 (nan%),0.0905 (nan%),0.1020 (nan%),0.1327 (nan%)
Total,1.0,0.0085 (nan%),0.0269 (nan%),0.0602 (nan%),0.1517 (nan%),0.1631 (nan%),0.1657 (nan%),0.0081 (nan%),0.022 (nan%),0.0905 (nan%),0.102 (nan%),0.1327 (nan%)
