,sample size,R - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
8,1.0,0.0103 (nan%),0.0186 (nan%),-0.0278 (nan%),-0.1082 (nan%),0.0349 (nan%),0.0389 (nan%),0.0280 (nan%),-0.0451 (nan%),-0.1408 (nan%),-0.0094 (nan%),-0.0154 (nan%)
Total,1.0,0.0103 (nan%),0.0186 (nan%),-0.0278 (nan%),-0.1082 (nan%),0.0349 (nan%),0.0389 (nan%),0.028 (nan%),-0.0451 (nan%),-0.1408 (nan%),-0.0094 (nan%),-0.0154 (nan%)
