CIK,day -1,day 0,R,MKT,R - MKT,vol,EA,1d - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,IDT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
859163,2011-10-25,2011-10-26,1.0779423231447016,1.0469964800000002,0.03094584314470139,0.733864974561253,0.0,0.03094584314470139,-0.00414009344985411,-0.004316428434874009,0.002195410705650769,-0.10849249582709208,-0.1386584952487333,Chips,0.03739349314470153,-0.006017670285383359,0.009254740789664373,-0.016723088534355668,-0.1011098187027053,-0.11439002482972804
859163,2011-07-20,2011-07-21,1.0205842933137377,1.0139128999999998,0.0066713933137378945,2.3467874256140666,,0.0066713933137378945,-0.04141724405376357,-0.05438830941478712,-0.07789550311420868,-0.07317386066607667,-0.11375671666455178,Chips,0.0042423733137375574,-0.033705325077531656,-0.03370336316266842,-0.10153928279683766,-0.08572483704831646,-0.1118745526255962
859163,2007-12-26,2007-12-27,0.9816715547135317,0.98628212,-0.0046105652864683044,0.6043735636207065,,-0.0046105652864683044,0.04231266255466026,0.0433767953851365,0.0301674580480783,0.028183970022586657,0.012457561368398595,Chips,0.0035264747135316243,0.11123697433783963,0.08236733560524123,0.06423324099999694,0.03882959973157474,-0.00786806397068951
820313,2017-05-18,2017-05-19,1.0158730376027543,1.0126392,0.003233837602754308,0.9486244651523745,,0.003233837602754308,0.01217206615118327,-0.021451869127133705,0.046109919241802855,0.060736915880266196,0.10638827993686295,Chips,-0.00028966239724570464,0.011525759118350187,0.038572409647881445,0.028411313902125368,0.06820665689114014,-0.0007282795899652417
820313,2005-10-10,2005-10-11,0.9917044236680784,0.98882607,0.002878353668078426,1.0062141015193111,,0.002878353668078426,0.006297595137416456,-0.005449115630564272,0.08843942436291963,0.17126014773973752,0.2076364286560215,Chips,0.01279402366807847,0.020440448008615997,-0.036590888476184746,0.029901950672378774,0.15345399127512582,0.1664280628371846
1679273,2017-09-28,2017-09-29,1.0206096832703981,1.0085175,0.012092183270398182,0.8346163947918891,,0.012092183270398182,0.05662830984051226,0.08921533607909793,0.11175608393513592,0.1398389243169691,0.11684114087803121,Food,0.013296483270398118,0.062416827951829124,0.09834511343559571,0.11134700303169187,0.1714384669788933,0.21493421794356526
1637459,2018-04-25,2018-04-26,1.0142480456469973,1.00970096,0.004547085646997351,1.455620025826774,,0.004547085646997351,0.007832110019731164,-0.0279183561605838,-0.007246120273561196,-0.10493152798493666,-0.08487521139918852,Food,0.007837965646997347,0.03972083616515276,0.029026132541370098,0.029860270889448426,-0.055481069966199725,-0.06856615978042513
1637459,2017-04-20,2017-04-21,1.0056496809853768,1.00896696,-0.003317279014623198,0.5934409515178829,,-0.003317279014623198,-0.04504595766939812,-0.020670137532129207,-0.11822067232626388,-0.1572464043264733,-0.2470557403208471,Food,-0.0007355590146231883,-0.007653929075647992,0.010852629266340008,-0.014663805936259822,-0.0414444258558081,-0.0775569975285536
1637459,2016-04-25,2016-04-26,1.004699544029105,1.00500609,-0.0003065459708948559,0.6216583891199953,,-0.0003065459708948559,0.09707482602941497,0.060952600380006716,0.07129202472523843,0.08344187244300127,0.08728115024391725,Food,-0.009629955970894777,0.04276439481338823,0.03708208277751468,0.0014688577293933136,0.03931526715288158,0.0658947602342248
1637459,2018-02-14,2018-02-15,0.9844272087638748,1.0124036299999999,-0.027976421236125093,1.2431546324433502,1.0,-0.027976421236125093,-0.06583046941754434,-0.12347389560078714,-0.19041700596304112,-0.1393192863195799,-0.22528135590177834,Food,-0.025905741236125213,-0.050258726003018284,-0.09218202284880261,-0.10375888434203662,-0.09818912086790621,-0.13949712980711482
802481,2019-05-06,2019-05-07,0.9777391516644035,0.98093718,-0.003198028335596459,1.1209940922010628,,-0.003198028335596459,-0.02133791171044297,-0.11299664216325389,0.019465677488118782,0.05843693637118674,-0.051609623894852574,Food,-0.01545559833559651,-0.045674564509476934,-0.12943369449918307,-0.011583586633334697,0.039083034824364926,-0.030241654862814937
802481,2018-05-10,2018-05-11,0.9656452345861618,1.00240095,-0.03675571541383815,1.2734293674778174,-1.0,-0.03675571541383815,-0.0343253100760732,-0.08304728087554891,-0.20977489563966645,-0.20801012469688795,-0.16892404580073794,Food,-0.03274915541383827,-0.02741227326976481,-0.13146294051356078,-0.22270538307494137,-0.19372895955329517,-0.223647808619434
802481,2017-05-03,2017-05-04,0.9901185767771175,1.0048009199999999,-0.014682343222882421,1.1856481691325318,-1.0,-0.014682343222882421,-0.045647506537326854,-0.09216522484841738,-0.07750854372435301,0.09565199337072672,0.12599623249158642,Food,-0.01608703322288285,-0.0545517875815571,-0.07911482139732062,-0.029050140268460423,0.18218905931754914,0.26587200311946424
802481,2017-09-19,2017-09-20,0.9889311761842559,0.99879552,-0.009864343815744192,0.9186705542628962,,-0.009864343815744192,0.012451495236146748,0.06015112859632832,0.06576959749226807,-0.11176673043815333,-0.2219137661147863,Food,0.00933117618425583,0.03704181386294003,0.10071224837929438,0.09271247949693695,-0.03205606774018954,-0.11271253769576761
802481,2017-05-01,2017-05-02,0.9913792626662641,0.99839943,-0.007020167333735894,0.7971717148032441,1.0,-0.007020167333735894,-0.059445610799042425,-0.0689890730434779,-0.09369263860044708,0.10751238409301367,0.1282636607704979,Food,-9.323733373589604e-05,-0.04495982315025693,-0.06547935998491994,-0.039592081106211596,0.19157121715074976,0.27739406745342576
802481,2016-04-29,2016-05-02,1.0081753740097348,0.99731705,0.010858324009734743,1.8132271366080268,,0.010858324009734743,-0.032843395156022304,-0.10123689689596449,-0.15033341766647235,-0.22499503029197465,-0.30115908754436227,Food,0.00704007400973472,-0.06424338012830566,-0.1166868945579489,-0.17326983484002323,-0.22238025597919442,-0.2832353513140765
802481,2015-05-06,2015-05-07,1.0130826498017305,1.01604719,-0.0029645401982696384,0.5871852538668226,,-0.0029645401982696384,0.047205650772940366,0.023360611686126243,-0.11130447016677114,-0.08818933214785307,-0.19784448249109776,Food,-0.000334150198269656,0.04418611842045639,0.01606851424793554,-0.15284025162564485,-0.14620704234818904,-0.25891386959921536
802481,2017-09-22,2017-09-25,1.0031391751778305,0.99799875,0.005140425177830421,0.9319170734318476,,0.005140425177830421,-0.009366443170387706,0.027526698680236716,0.04718000398254629,-0.15493428421445476,-0.1942776981573463,Food,-0.008681944822169552,0.0019750310087900402,0.07105827341593285,0.0467821681781877,-0.1039881873515891,-0.1012193770336337
