1417398,1318605,1511737,1009626,1521332,1408356,1730168,1138639,1034670,1294924,1320461,1129446,1357326,1488613,1645590,1452751,1517228,885725,1038074,1356090
2017-12-12,2019-07-24,2017-08-10,2010-05-20,2017-09-08,2016-11-02,2018-11-05,2009-10-20,2018-07-02,2012-10-23,2018-11-02,2002-08-14,2011-10-19,2016-01-11,2015-11-05,2015-03-12,2019-04-04,2018-09-11,2006-10-23,2018-01-10
,2018-08-01,2017-11-09,,2017-11-15,,,,,,,,,,,2016-03-03,,2015-05-01,2003-09-25,2017-11-09
,2015-05-06,2017-02-21,,,,,,,,,,,,,,,,,2017-08-09
,,2012-05-01,,,,,,,,,,,,,,,,,2017-05-10
,,,,,,,,,,,,,,,,,,,2015-11-12
