1577095,1636519,1637207,1656239,1564902,701374
,2015-09-21,2017-05-30,2017-12-20,2019-06-13,2019-04-17
,,,2016-09-13,2017-06-16,2011-12-20
,,,2016-04-28,2017-04-04,2011-05-09
,,,,2016-06-17,2010-09-13
,,,,2015-11-05,2010-08-18
,,,,2015-08-06,2010-05-14
,,,,2015-06-12,2010-05-04
,,,,2015-05-07,2009-07-23
,,,,2015-02-26,2007-05-30
,,,,2014-11-12,
,,,,2014-08-13,
,,,,2014-06-13,
,,,,2014-05-14,
,,,,2014-03-13,
,,,,2013-11-13,
,,,,2013-08-13,
,,,,2013-05-22,
