,sample size,R - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
4,2.0,0.0294 (23.37%),0.0444 (16.43%),0.0741 (25.85%),0.0465 (42.05%),-0.0070 (78.74%),-0.0701 (38.53%),0.0446 (10.83%),0.0776 (35.41%),0.0474 (58.46%),0.0390 (48.87%),-0.0670 (57.90%)
8,2.0,0.0303 (26.30%),0.0543 (16.83%),0.0017 (64.80%),0.0044 (78.65%),-0.1180 (39.29%),0.0225 (31.05%),0.0413 (21.77%),0.0486 (3.69%),0.0590 (13.38%),-0.0797 (51.55%),0.0277 (25.91%)
9,6.0,-0.0187 (25.75%),-0.0386 (10.45%),-0.0305 (24.48%),0.0063 (85.77%),0.0019 (96.49%),-0.0207 (45.24%),-0.0200 (24.63%),-0.0072 (68.78%),0.0145 (62.42%),0.0134 (68.45%),-0.0136 (47.81%)
Total,10.0,0.0007 (95.25%),-0.0034 (85.69%),-0.0031 (87.63%),0.014 (51.97%),-0.0239 (45.81%),-0.0219 (28.14%),0.0052 (71.59%),0.0209 (25.05%),0.03 (16.23%),-0.0001 (99.66%),-0.016 (42.86%)
