,sample size,1d - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
0,11.0,-0.0034 (52.65%),-0.0057 (61.91%),-0.0331 (16.78%),-0.0694 (1.91%),-0.0485 (8.99%),-0.0470 (10.45%),-0.0034 (60.79%),-0.0001 (96.25%),-0.0191 (14.99%),-0.0421 (12.29%),-0.0307 (7.91%),-0.0426 (11.33%)
1,78.0,0.0010 (82.98%),-0.0101 (20.15%),-0.0174 (22.90%),-0.0471 (1.64%),-0.0534 (3.43%),-0.0968 (0.09%),0.0001 (97.71%),-0.0059 (41.09%),-0.0098 (43.92%),-0.0269 (6.05%),-0.0178 (36.50%),-0.0442 (5.52%)
2,98.0,-0.0005 (77.03%),-0.0013 (71.56%),-0.0029 (64.86%),0.0100 (23.32%),-0.0015 (88.65%),-0.0033 (79.37%),0.0017 (28.61%),0.0037 (28.34%),0.0009 (87.44%),0.0164 (7.45%),0.0104 (32.07%),0.0073 (55.37%)
3,22.0,0.0014 (71.34%),0.0024 (80.97%),-0.0048 (81.01%),-0.0153 (58.97%),-0.0600 (6.19%),-0.0574 (13.83%),-0.0020 (66.11%),0.0029 (72.61%),0.0077 (60.63%),0.0110 (54.07%),-0.0390 (7.76%),-0.0358 (25.98%)
4,591.0,0.0003 (79.83%),0.0017 (51.75%),0.0017 (65.76%),0.0048 (39.51%),0.0103 (11.74%),0.0183 (2.22%),0.0007 (54.29%),0.0019 (45.28%),0.0012 (73.42%),0.0038 (47.79%),0.0087 (16.20%),0.0163 (3.31%)
5,19.0,0.0023 (71.41%),-0.0022 (82.14%),-0.0105 (58.18%),-0.0332 (32.43%),-0.0411 (25.07%),-0.0566 (22.66%),0.0017 (79.13%),-0.0037 (66.45%),-0.0140 (47.69%),-0.0382 (27.32%),-0.0489 (18.29%),-0.0688 (14.36%)
6,43.0,-0.0068 (10.12%),0.0043 (65.64%),0.0132 (37.86%),0.0238 (23.45%),0.0221 (35.86%),0.0538 (5.35%),-0.0062 (13.23%),0.0043 (63.62%),0.0119 (38.62%),0.0123 (48.42%),-0.0046 (83.66%),0.0192 (47.55%)
7,27.0,0.0108 (5.05%),0.0118 (18.03%),-0.0037 (78.24%),0.0102 (69.86%),0.0119 (69.09%),0.0560 (13.91%),0.0081 (13.96%),0.0051 (49.45%),-0.0045 (70.27%),0.0020 (93.63%),0.0008 (97.80%),0.0253 (47.52%)
8,210.0,0.0005 (81.55%),0.0043 (28.09%),0.0060 (44.54%),0.0305 (1.84%),0.0201 (19.71%),0.0227 (17.45%),-0.0003 (86.72%),0.0020 (61.23%),-0.0000 (99.71%),0.0220 (8.26%),0.0092 (54.44%),0.0134 (41.38%)
9,188.0,0.0034 (2.00%),0.0082 (2.22%),0.0020 (72.10%),0.0064 (57.41%),-0.0123 (28.41%),-0.0166 (19.53%),0.0031 (3.05%),0.0071 (3.92%),0.0031 (54.31%),0.0134 (23.02%),-0.0025 (81.81%),-0.0108 (36.85%)
10,23.0,0.0059 (39.20%),0.0199 (4.87%),0.0185 (26.72%),0.0311 (27.52%),0.0246 (51.52%),-0.0045 (90.89%),0.0034 (50.03%),0.0148 (5.44%),0.0115 (33.47%),0.0187 (30.66%),0.0149 (47.85%),-0.0062 (78.84%)
11,46.0,0.0064 (18.91%),0.0009 (89.13%),0.0066 (54.45%),0.0129 (43.86%),0.0216 (26.48%),0.0332 (20.44%),0.0058 (22.13%),0.0001 (98.45%),0.0074 (48.65%),0.0129 (46.78%),0.0155 (44.21%),0.0263 (32.83%)
13,22.0,0.0012 (76.13%),0.0030 (68.67%),-0.0123 (22.66%),-0.0221 (16.35%),-0.0227 (25.56%),-0.0328 (34.00%),0.0027 (52.71%),0.0063 (39.48%),-0.0097 (42.35%),-0.0109 (50.51%),-0.0049 (80.06%),-0.0221 (50.90%)
15,9.0,0.0087 (38.35%),0.0175 (43.82%),-0.0306 (25.41%),-0.0390 (20.54%),-0.0345 (5.62%),-0.0708 (11.20%),0.0106 (37.92%),0.0189 (38.43%),-0.0215 (43.66%),-0.0368 (26.68%),-0.0203 (48.94%),-0.0559 (11.60%)
16,7.0,0.0089 (37.48%),0.0076 (72.10%),0.0048 (89.65%),-0.0232 (75.78%),-0.0472 (63.55%),0.0213 (87.31%),0.0153 (18.07%),0.0025 (92.05%),-0.0139 (65.65%),-0.0640 (27.00%),-0.0940 (30.33%),0.0090 (93.98%)
17,96.0,0.0006 (92.58%),0.0037 (70.43%),-0.0014 (93.86%),-0.0373 (12.13%),-0.0457 (17.17%),-0.0602 (7.66%),-0.0013 (84.02%),0.0031 (74.21%),-0.0032 (83.54%),-0.0322 (11.20%),-0.0344 (22.95%),-0.0497 (6.99%)
Total,1490.0,0.11% (17.38%),0.28% (7.78%),0.06% (82.17%),0.27% (49.21%),-0.11% (81.42%),0.0% (99.86%),0.1% (20.23%),0.27% (6.7%),0.03% (88.52%),0.37% (32.2%),0.05% (90.65%),0.13% (78.77%)
