,sample size,1d - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
1,23.0,-0.0053 (62.68%),0.0126 (66.29%),0.0461 (23.76%),0.1423 (1.43%),0.1201 (13.18%),0.1906 (6.97%),0.0002 (98.05%),0.0031 (89.75%),0.0267 (28.14%),0.0879 (5.22%),0.0762 (18.69%),0.1574 (5.64%)
2,29.0,0.0043 (47.37%),-0.0084 (33.54%),0.0049 (80.06%),0.0572 (6.67%),0.0806 (7.57%),0.1134 (4.31%),0.0014 (79.48%),-0.0123 (24.43%),0.0059 (74.72%),0.0366 (21.70%),0.0548 (19.61%),0.0862 (9.71%)
3,3.0,0.0128 (71.17%),-0.0531 (62.01%),-0.0630 (14.81%),-0.0469 (53.82%),0.0655 (25.86%),0.1464 (39.68%),0.0119 (65.03%),0.0135 (89.59%),0.0055 (93.23%),0.0246 (21.94%),0.0830 (17.36%),0.1813 (16.94%)
4,216.0,0.0039 (16.75%),0.0016 (77.58%),0.0095 (23.01%),0.0163 (12.35%),0.0265 (6.42%),0.0363 (2.53%),0.0032 (20.43%),0.0014 (78.29%),0.0043 (55.20%),-0.0020 (83.64%),-0.0028 (83.04%),-0.0053 (70.56%)
5,3.0,0.0091 (59.57%),-0.0101 (56.01%),-0.0337 (58.89%),-0.0384 (55.53%),-0.0240 (73.78%),-0.0312 (77.38%),0.0099 (57.63%),-0.0052 (83.37%),-0.0337 (61.18%),-0.0366 (51.88%),-0.0027 (97.22%),-0.0175 (87.49%)
6,31.0,-0.0062 (34.81%),-0.0251 (5.15%),0.0052 (83.71%),-0.0097 (72.92%),-0.0215 (47.05%),-0.0080 (82.83%),-0.0092 (17.47%),-0.0256 (4.61%),0.0001 (99.64%),-0.0097 (71.68%),-0.0198 (48.86%),-0.0081 (82.70%)
7,14.0,-0.0043 (56.08%),0.0144 (45.93%),0.0483 (1.11%),0.0772 (1.68%),0.1085 (1.43%),0.1137 (5.06%),0.0002 (97.75%),0.0240 (21.54%),0.0419 (1.98%),0.0567 (7.67%),0.0687 (9.34%),0.0656 (21.15%)
8,85.0,0.0041 (26.20%),0.0141 (10.99%),0.0192 (7.53%),0.0303 (6.14%),0.0373 (7.03%),0.0427 (7.89%),0.0031 (35.69%),0.0100 (22.96%),0.0117 (24.29%),0.0134 (35.41%),0.0120 (54.83%),0.0131 (55.67%)
9,93.0,0.0015 (76.88%),-0.0198 (13.55%),-0.0271 (14.48%),0.0113 (69.16%),0.0218 (45.96%),-0.0098 (73.88%),0.0023 (61.81%),-0.0108 (28.77%),-0.0089 (54.85%),0.0310 (20.41%),0.0315 (22.95%),0.0074 (77.28%)
10,11.0,0.0188 (7.04%),-0.0111 (61.01%),0.0492 (30.16%),0.0998 (46.38%),0.1363 (41.95%),0.0974 (66.72%),0.0109 (8.57%),0.0047 (71.53%),0.0527 (12.78%),0.0670 (41.66%),0.0958 (37.47%),0.0773 (57.45%)
11,23.0,0.0041 (88.48%),0.0022 (94.80%),0.0421 (24.11%),0.0383 (24.83%),0.0398 (34.16%),0.0629 (10.78%),0.0023 (93.26%),-0.0065 (84.23%),0.0300 (39.03%),0.0143 (65.10%),0.0069 (86.38%),0.0173 (65.85%)
13,6.0,-0.0085 (25.56%),0.0055 (72.91%),0.0181 (61.27%),-0.0014 (97.47%),-0.0157 (64.73%),0.0360 (24.12%),-0.0101 (23.70%),0.0073 (78.51%),0.0470 (27.82%),0.0053 (91.57%),-0.0066 (88.15%),0.0310 (44.89%)
14,1.0,0.0295 (nan%),-0.0969 (nan%),-0.2161 (nan%),-0.1692 (nan%),-0.1602 (nan%),-0.2798 (nan%),0.0113 (nan%),-0.0039 (nan%),-0.0585 (nan%),-0.0727 (nan%),-0.0481 (nan%),-0.1320 (nan%)
16,1.0,-0.0106 (nan%),0.0190 (nan%),-0.0809 (nan%),-0.3005 (nan%),-0.4310 (nan%),-0.6079 (nan%),-0.0041 (nan%),0.0232 (nan%),-0.0804 (nan%),-0.3609 (nan%),-0.5803 (nan%),-0.7215 (nan%)
17,7.0,0.0252 (29.08%),0.0911 (29.54%),0.0393 (27.99%),-0.0219 (46.95%),0.0701 (48.24%),0.1269 (41.31%),0.0231 (21.31%),0.0483 (27.07%),-0.0018 (94.70%),-0.0733 (7.61%),-0.0295 (63.55%),-0.0008 (99.30%)
Total,546.0,0.29% (15.77%),-0.09% (83.0%),0.82% (14.6%),2.55% (0.2%),3.52% (0.05%),4.15% (0.05%),0.24% (21.76%),-0.05% (88.96%),0.7% (15.68%),1.33% (6.15%),1.39% (11.72%),1.56% (12.02%)
