CIK,day -1,day 0,R,MKT,R - MKT,vol,EA,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
1171825,2018-06-12,2018-06-13,0.9924608661685763,0.9993910899999999,-0.00693022383142361,0.9722755529468743,,-0.012277514845690174,0.004750386401481732,0.019293546752028323,-0.046653459810770403,-0.07920579033930719,Banks,0.0005441081157465666,0.0025005688117247793,0.023038501177431003,-0.01929291271456679,-0.06566391214223366
1171825,2018-02-13,2018-02-14,1.0493658298399393,1.02748392,0.021881909839939206,0.7800223269856026,,0.030512939567519437,0.008932161527347104,0.017450072838187003,-0.04749123097509422,-0.032616446429847956,Banks,0.03195710425555642,0.03131821871592877,0.020831330238518797,-0.007408327950282789,0.00047845202781804375
1171825,2014-09-08,2014-09-09,1.0012445835808017,0.9972675999999999,0.003976983580801785,0.6034236052946931,,-0.02499032161841397,-0.0007925226211784597,-0.02964730093647483,-0.08713906399010651,-0.09356360324862445,Banks,-0.04261282516543907,-0.008527071547425935,-0.0509477827359035,-0.06060605757215243,-0.08519453695315526
40729,2017-11-01,2017-11-02,1.012523716088375,1.00370186,0.008821856088375046,1.098803970357993,,-0.0003646501382950085,0.04930106665518674,0.030057694055939166,-0.03375941081927181,-0.03334597313949805,Banks,0.022617283280230938,0.04541942929263887,0.0068282951335840725,-0.05996834701808207,-0.05315926852930475
1472787,2019-02-13,2019-02-14,0.9836412915877993,1.00917627,-0.02553497841220065,1.1242020121901255,0.0,-0.04560931944708191,-0.033291842010736095,0.030711127020923712,0.013745107543210677,0.052939223015266546,Insur,-0.018480947540005843,0.018687569671820725,0.05864469138720996,0.01915437797634656,0.050208935083632555
927628,2018-02-28,2018-03-01,0.9876442450658426,0.9951173999999998,-0.007473154934157233,0.7660971991825484,,-0.014450897448346156,0.00154606187671813,-0.041211101993769095,-0.05788260646847099,-0.03652478466751741,Banks,-0.002121882696420885,0.03000023011787134,-0.02612044116841672,-0.00848640977866566,-0.004417791564792051
1267238,2019-03-13,2019-03-14,0.9748223197758897,1.0037951999999999,-0.028972880224110154,1.314892503948566,,-0.06299809005975432,-0.12022065501306922,0.0021098852329632933,0.050075705477212074,0.19438094087934443,Insur,-0.04250394634319754,-0.08140099089672848,-0.031226009525720855,0.02202983993470231,0.19898595983484935
4962,2019-04-17,2019-04-18,1.005100211917768,1.0022012100000002,0.0028990019177679294,1.094339087880181,0.0,0.05164906707300698,0.0847190637027685,0.11606017218061382,0.07736043875891263,0.028861797195266492,Banks,0.0425230135269381,0.07849604060119852,0.12049358413808897,0.08712792910083234,0.013644662654248352
4962,2019-01-16,2019-01-17,1.010763501211221,1.02049675,-0.009733248788778903,1.3771231219995308,0.0,0.0029206818308187277,0.027050260375999446,0.0048520663311169,0.12028227102734501,0.1444521246367345,Banks,0.011595205739206138,0.033641372481551635,0.03250885495820999,0.11374042033989817,0.1474483575210579
4962,2018-10-17,2018-10-18,1.022905952682836,0.9821385000000001,0.04076745268283577,1.4627336450033461,0.0,0.02255632031512067,0.097492101337324,0.023222011478746585,0.044451712461819004,0.03304481515652902,Banks,0.021773205933086515,0.08051777576279795,0.010647165912070489,0.03727677830879972,0.03996886004233646
4962,2018-07-17,2018-07-18,0.990311385643595,0.9992908199999999,-0.008979434356404914,0.9182664076067211,0.0,-0.013589995569410318,0.019111826586156733,0.042158240503708866,0.11927645927466346,0.06576890348255882,Banks,-0.031026937649109687,0.01651510364973774,0.05114372205536766,0.11902615038934383,0.09100512521936555
4962,2018-04-17,2018-04-18,1.0906669729479188,0.99639363,0.09427334294791878,0.951259052674492,0.0,0.06644715548660929,0.043938936125196504,0.03157991338013799,0.060719313618996074,0.07972628466394882,Banks,0.03307300602408958,0.02872990692298316,0.04565141819595109,0.04890400691559593,0.08528332884560053
1409970,2017-12-06,2017-12-07,0.8258823506972376,1.00932142,-0.18343906930276244,1.3457164331376352,,-0.05660860529777745,-0.0930450609149539,-0.1362742103550003,-0.23461217326602124,-0.2764246235788873,Banks,-0.05866785011946929,-0.09884161084857024,-0.16216332484101437,-0.2334842472098252,-0.2740051480906863
1409970,2018-03-27,2018-03-28,0.9695291140464396,1.01055065,-0.041021535953560506,0.526102202391209,,-0.10392342206808403,-0.07870214554709798,0.024135602227540298,0.004252888651738118,-0.17006069781192668,Banks,-0.11750075079408773,-0.10557845138244537,0.038513114344179034,0.008377197952122328,-0.13907533373041947
1575879,2016-07-29,2016-08-01,0.9721189419745973,0.9914111999999999,-0.019292258025402687,0.4654166541200734,,0.05648570910440265,0.06257722676701849,0.14350133204067939,0.1001196351514202,0.3512009793958224,Fin,0.04059415731381577,0.016139039166662483,0.10081308639720898,-0.08083079929217818,0.18112102452271994
750556,2017-11-01,2017-11-02,0.997852349974564,1.00370186,-0.0058495100254361,0.8369108623806858,,-0.04944440680296447,0.0339646932413431,0.06828225473444705,0.09885564013974268,0.07192322381694116,Banks,-0.026462473384438523,0.03008305587879523,0.04505285581209195,0.07264670394093242,0.052109928427134466
750556,2017-09-11,2017-09-12,1.0315474824778148,1.00550484,0.026042642477814848,1.0344649274546558,,0.07701557247514867,0.08374746018159263,0.13681781098487455,0.15174208034532,0.2111790505598401,Banks,0.043542429069700184,0.023847082983652568,0.06643167723901566,0.06646947257335367,0.10861049002360224
