,sample size,1d - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
0,3.0,0.0003 (94.69%),-0.0053 (68.73%),-0.0288 (20.45%),-0.0607 (11.07%),-0.0569 (36.42%),-0.0889 (22.55%),0.0014 (32.47%),0.0028 (47.38%),-0.0030 (48.33%),-0.0106 (14.90%),-0.0155 (15.73%),-0.0237 (6.95%)
1,45.0,-0.0075 (30.25%),-0.0274 (1.54%),-0.0882 (0.03%),-0.1654 (0.00%),-0.1763 (0.00%),-0.2716 (0.00%),-0.0074 (25.94%),-0.0200 (6.25%),-0.0602 (0.11%),-0.0935 (0.07%),-0.0817 (0.71%),-0.1421 (0.00%)
2,31.0,-0.0001 (98.16%),-0.0137 (11.15%),-0.0280 (6.47%),-0.0286 (18.46%),-0.0316 (19.58%),-0.0325 (20.18%),0.0009 (79.59%),-0.0068 (41.90%),-0.0158 (18.69%),-0.0098 (64.32%),-0.0106 (66.39%),-0.0193 (46.35%)
3,7.0,0.0121 (1.75%),0.0027 (86.14%),-0.0394 (20.32%),-0.0680 (9.52%),-0.1277 (2.70%),-0.1357 (4.98%),0.0092 (5.34%),0.0026 (86.50%),-0.0256 (18.35%),-0.0425 (8.78%),-0.0873 (1.70%),-0.0692 (11.02%)
4,287.0,-0.0001 (95.40%),-0.0007 (85.97%),-0.0053 (36.43%),-0.0130 (9.17%),-0.0151 (9.22%),-0.0164 (14.04%),-0.0006 (70.77%),0.0001 (98.36%),-0.0039 (49.01%),-0.0060 (44.64%),-0.0055 (55.94%),-0.0059 (59.96%)
5,21.0,0.0044 (48.92%),-0.0006 (94.61%),-0.0033 (86.10%),-0.0299 (27.53%),-0.0459 (15.88%),-0.0929 (3.55%),0.0048 (44.56%),-0.0010 (90.89%),0.0009 (96.12%),-0.0152 (56.19%),-0.0315 (31.89%),-0.0713 (10.27%)
6,23.0,0.0120 (15.78%),0.0222 (10.25%),0.0505 (2.19%),0.0594 (6.59%),0.0587 (21.99%),0.0546 (30.40%),0.0116 (17.26%),0.0172 (18.98%),0.0351 (9.10%),0.0298 (34.47%),0.0134 (77.14%),-0.0019 (97.06%)
7,11.0,-0.0005 (92.58%),-0.0047 (61.23%),0.0115 (58.75%),0.0208 (66.18%),0.0298 (41.98%),0.0290 (60.11%),-0.0009 (83.92%),-0.0053 (56.77%),0.0146 (43.28%),0.0136 (77.43%),0.0196 (62.00%),-0.0049 (92.06%)
8,112.0,-0.0005 (87.28%),-0.0046 (40.59%),-0.0159 (10.55%),-0.0244 (11.31%),-0.0339 (6.57%),-0.0320 (10.48%),-0.0001 (96.02%),-0.0048 (37.56%),-0.0194 (5.39%),-0.0298 (5.72%),-0.0415 (2.68%),-0.0396 (5.08%)
9,101.0,0.0028 (9.05%),0.0071 (11.16%),0.0082 (24.66%),0.0147 (26.38%),-0.0034 (83.10%),-0.0124 (49.19%),0.0022 (17.41%),0.0027 (51.68%),-0.0034 (60.25%),0.0009 (94.33%),-0.0166 (28.57%),-0.0333 (6.79%)
10,8.0,0.0117 (39.35%),0.0124 (36.51%),0.0089 (74.71%),-0.0234 (61.32%),-0.0461 (16.60%),-0.0458 (22.06%),0.0106 (34.23%),0.0167 (19.20%),0.0213 (42.44%),0.0009 (97.60%),-0.0118 (43.72%),0.0036 (87.23%)
11,20.0,0.0018 (78.29%),0.0022 (84.64%),0.0026 (88.53%),0.0460 (13.36%),0.0609 (7.59%),0.0715 (13.35%),-0.0000 (99.76%),0.0038 (72.42%),0.0007 (97.12%),0.0370 (25.92%),0.0497 (15.87%),0.0508 (31.27%)
13,12.0,0.0079 (30.18%),0.0028 (81.68%),-0.0356 (13.65%),-0.0051 (88.26%),-0.0151 (68.57%),-0.0234 (56.01%),0.0080 (32.30%),0.0046 (65.68%),-0.0217 (38.56%),0.0047 (88.92%),-0.0093 (80.25%),-0.0285 (47.88%)
15,2.0,-0.0023 (32.02%),0.0369 (7.35%),-0.0452 (5.40%),-0.0204 (53.48%),-0.0358 (5.93%),-0.0752 (0.46%),-0.0041 (82.58%),0.0339 (22.63%),-0.0494 (14.72%),-0.0954 (1.48%),-0.1289 (0.05%),-0.1127 (0.20%)
16,4.0,-0.0095 (25.96%),-0.0288 (34.49%),-0.0678 (14.23%),-0.1567 (21.80%),-0.2202 (18.68%),-0.1944 (33.59%),-0.0142 (34.57%),-0.0428 (25.75%),-0.0892 (2.73%),-0.1463 (23.79%),-0.1822 (19.98%),-0.1373 (43.17%)
17,69.0,-0.0067 (50.36%),-0.0145 (31.76%),-0.0338 (14.65%),-0.0798 (0.08%),-0.1241 (0.00%),-0.1847 (0.00%),-0.0066 (50.09%),-0.0129 (38.24%),-0.0261 (26.03%),-0.0660 (0.47%),-0.1077 (0.01%),-0.1552 (0.00%)
Total,756.0,0.0% (97.08%),-0.27% (25.7%),-1.25% (0.2%),-2.45% (0.0%),-3.52% (0.0%),-4.93% (0.0%),-0.02% (86.27%),-0.23% (33.02%),-1.11% (0.39%),-1.83% (0.06%),-2.69% (0.0%),-3.89% (0.0%)
