,sample size,1d - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
0,6.0,-0.0047 (63.15%),0.0032 (87.87%),-0.0262 (55.18%),-0.0732 (16.68%),-0.0379 (40.51%),-0.0365 (41.58%),-0.0061 (63.60%),0.0011 (84.93%),-0.0308 (22.20%),-0.0680 (18.69%),-0.0441 (18.01%),-0.0627 (22.01%)
1,20.0,0.0044 (64.34%),0.0077 (60.06%),0.0049 (83.86%),0.0069 (84.88%),0.0274 (66.06%),-0.0099 (89.07%),0.0043 (61.65%),0.0057 (66.30%),0.0034 (87.86%),0.0000 (99.92%),0.0384 (49.05%),-0.0057 (92.79%)
2,41.0,0.0010 (58.03%),0.0063 (15.32%),0.0142 (1.37%),0.0243 (3.57%),0.0252 (9.59%),0.0083 (67.50%),0.0028 (16.19%),0.0040 (39.91%),0.0027 (69.36%),0.0090 (41.98%),0.0058 (68.17%),-0.0077 (65.70%)
3,8.0,0.0041 (61.01%),0.0181 (35.16%),0.0232 (58.56%),0.0098 (87.72%),-0.0277 (65.57%),-0.0068 (92.15%),-0.0022 (81.19%),0.0125 (48.44%),0.0303 (24.73%),0.0438 (16.42%),0.0008 (97.84%),0.0254 (64.94%)
4,217.0,0.0021 (33.25%),-0.0028 (48.66%),-0.0013 (84.10%),-0.0015 (88.26%),0.0049 (64.80%),0.0104 (42.32%),0.0025 (19.40%),-0.0032 (39.18%),-0.0050 (38.68%),-0.0106 (24.25%),-0.0085 (38.10%),-0.0044 (70.97%)
5,1.0,0.0260 (nan%),0.0208 (nan%),-0.0779 (nan%),-0.1267 (nan%),-0.1064 (nan%),0.0089 (nan%),0.0314 (nan%),0.0154 (nan%),-0.0873 (nan%),-0.1446 (nan%),-0.0875 (nan%),0.0172 (nan%)
6,15.0,-0.0132 (14.24%),-0.0181 (29.17%),-0.0160 (53.17%),-0.0233 (46.68%),-0.0220 (58.06%),-0.0034 (93.99%),-0.0125 (16.18%),-0.0149 (31.39%),-0.0101 (62.76%),-0.0206 (44.11%),-0.0368 (31.81%),-0.0242 (58.09%)
7,15.0,0.0163 (8.56%),0.0137 (28.18%),0.0132 (39.74%),0.0196 (53.87%),0.0291 (49.54%),0.0763 (19.16%),0.0132 (16.10%),0.0040 (71.79%),0.0055 (70.70%),0.0112 (69.19%),0.0221 (55.24%),0.0600 (27.45%)
8,75.0,-0.0032 (34.97%),-0.0053 (39.82%),-0.0024 (84.19%),0.0076 (66.55%),-0.0160 (41.82%),-0.0177 (46.80%),-0.0042 (23.21%),-0.0092 (14.79%),-0.0168 (16.60%),-0.0095 (58.70%),-0.0360 (6.85%),-0.0354 (13.77%)
9,68.0,0.0041 (17.16%),0.0049 (48.41%),-0.0092 (34.81%),0.0057 (82.33%),-0.0470 (1.36%),-0.0672 (0.15%),0.0040 (18.10%),0.0097 (15.94%),0.0068 (47.60%),0.0391 (12.35%),0.0047 (79.74%),-0.0064 (75.27%)
10,11.0,0.0085 (34.90%),0.0160 (30.13%),0.0215 (41.85%),0.0230 (61.73%),0.0138 (85.03%),-0.0161 (82.32%),0.0018 (75.22%),0.0101 (29.18%),0.0131 (43.43%),0.0094 (70.44%),0.0098 (79.46%),-0.0187 (66.06%)
11,22.0,0.0109 (10.41%),0.0010 (92.45%),0.0125 (39.51%),0.0052 (77.79%),0.0011 (96.12%),0.0075 (80.32%),0.0102 (14.02%),-0.0032 (77.32%),0.0070 (63.49%),0.0010 (96.30%),-0.0113 (65.62%),-0.0074 (81.94%)
13,10.0,0.0031 (57.61%),0.0105 (44.45%),0.0141 (33.59%),-0.0414 (11.34%),-0.0343 (33.96%),-0.0106 (88.49%),0.0041 (45.90%),0.0158 (29.97%),0.0208 (17.31%),-0.0126 (62.92%),0.0013 (96.87%),0.0226 (74.77%)
15,3.0,0.0244 (46.50%),0.0195 (81.22%),-0.0274 (75.63%),-0.0428 (63.56%),-0.0568 (8.02%),-0.1612 (11.76%),0.0312 (43.74%),0.0355 (64.74%),0.0270 (75.03%),0.0526 (40.10%),0.0622 (24.48%),-0.0693 (45.69%)
16,3.0,0.0319 (5.31%),0.0340 (7.33%),0.0781 (31.78%),0.1249 (12.92%),0.1732 (5.60%),0.3130 (1.72%),0.0373 (4.35%),0.0322 (11.94%),0.0326 (63.68%),0.0338 (69.81%),0.1042 (36.36%),0.2886 (4.30%)
17,14.0,0.0025 (72.90%),0.0022 (86.43%),0.0061 (82.02%),0.0431 (45.46%),0.0223 (64.72%),0.0057 (89.91%),-0.0020 (79.63%),-0.0111 (35.46%),-0.0369 (14.22%),-0.0475 (34.05%),-0.0559 (30.45%),-0.0733 (20.52%)
Total,529.0,0.24% (6.27%),0.07% (78.39%),0.08% (84.35%),0.38% (55.49%),-0.32% (63.95%),-0.43% (61.16%),0.22% (7.37%),-0.05% (83.62%),-0.31% (38.85%),-0.14% (82.03%),-0.79% (21.55%),-0.87% (26.23%)
