t0,t1,sample size,1d - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
2000-01-01,2005-12-31,224.0,0.36% (9.89%),0.49% (22.03%),2.13% (0.6%),3.84% (0.09%),6.3% (0.01%),7.86% (0.0%),0.35% (10.79%),0.41% (29.09%),1.8% (1.18%),3.03% (0.49%),4.95% (0.07%),5.79% (0.02%)
2006-01-01,2007-12-31,252.0,0.47% (5.13%),0.28% (50.8%),0.71% (24.47%),2.67% (0.33%),3.64% (0.22%),5.16% (0.02%),0.3% (20.22%),-0.02% (95.79%),-0.0% (99.41%),0.89% (28.66%),0.76% (49.02%),1.3% (29.23%)
2008-01-01,2009-12-31,294.0,0.14% (67.14%),-0.41% (55.3%),0.92% (31.37%),2.45% (6.47%),3.42% (3.18%),3.29% (7.82%),0.18% (53.14%),-0.08% (89.67%),1.3% (9.47%),1.72% (12.46%),1.94% (15.42%),1.78% (24.65%)
2010-01-01,2011-12-31,529.0,0.24% (6.27%),0.07% (78.39%),0.08% (84.35%),0.38% (55.49%),-0.32% (63.95%),-0.43% (61.16%),0.22% (7.37%),-0.05% (83.62%),-0.31% (38.85%),-0.14% (82.03%),-0.79% (21.55%),-0.87% (26.23%)
2012-01-01,2013-12-31,566.0,-0.04% (71.12%),0.61% (1.65%),0.73% (10.94%),1.65% (1.54%),2.33% (0.75%),3.62% (0.01%),-0.01% (91.52%),0.66% (0.58%),0.8% (5.9%),1.69% (0.72%),2.18% (0.68%),2.99% (0.07%)
2014-01-01,2015-12-31,756.0,0.0% (97.08%),-0.27% (25.7%),-1.25% (0.2%),-2.45% (0.0%),-3.52% (0.0%),-4.93% (0.0%),-0.02% (86.27%),-0.23% (33.02%),-1.11% (0.39%),-1.83% (0.06%),-2.69% (0.0%),-3.89% (0.0%)
2016-01-01,2017-12-31,766.0,0.02% (89.62%),-0.32% (18.77%),-0.6% (8.84%),-0.78% (11.17%),-0.97% (10.17%),-0.74% (30.65%),0.02% (86.68%),-0.16% (47.01%),-0.51% (12.23%),-0.55% (23.88%),-0.91% (11.33%),-0.99% (16.16%)
2018-01-01,2019-12-31,651.0,-0.02% (90.07%),-0.23% (34.53%),-0.94% (2.36%),-3.11% (0.0%),-5.5% (0.0%),-6.76% (0.0%),-0.1% (36.91%),-0.27% (26.38%),-0.68% (8.07%),-2.5% (0.0%),-4.2% (0.0%),-5.2% (0.0%)
