CIK,day -1,day 0,R,MKT,R - MKT,vol,EA,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
789019,2016-10-19,2016-10-20,1.037024180658973,0.9985996799999999,0.03842450065897318,0.9187390265837957,0.0,0.05593513951899243,-0.00573384862128079,0.01192575251324679,-0.013437167541342498,0.027820173062599096,Softw,0.054328992755313665,0.0580110813168887,0.052920526869751905,0.021534362095323,0.03648739440841964
789019,2016-06-10,2016-06-13,0.967948762124058,0.9897159600000001,-0.021767197875942057,1.2777654030573797,,-0.011334303941179624,0.06496083933712904,0.06559139733901609,0.08231820534605294,0.07787237684128256,Softw,-0.0029972132167145338,0.04353291817355598,0.016536999109761474,0.028154665606769713,0.0923838572025768
1107694,2010-04-30,2010-05-03,0.968802153231809,0.98826,-0.019457846768191067,1.7228859745519254,0.0,-0.023327182556529213,0.06580759309528073,0.07183531790588693,0.2377334813152685,0.2686867719044592,Softw,-0.03121581482655711,0.06421391872721216,0.06777616391758201,0.22484833287997652,0.22418347629449342
1289419,2019-05-28,2019-05-29,1.027478217510216,0.9942900600000001,0.033188157510215865,0.9962930635220351,,0.07088907632668318,0.048195651060161104,0.11427236154796105,0.034517291677683914,0.048810863025005924,Softw,0.09042345480737768,0.04059688703434161,0.10336953434231111,0.03485174089995513,0.05009186738960936
1289419,2019-01-10,2019-01-11,0.9898277072726085,0.9939006,-0.0040728927273915305,0.9356390000037897,,0.0716585149038782,0.08174860499687808,0.06435661105821588,0.15658657932057274,0.19973802440624633,Softw,0.06494332797532132,0.055744942574381895,0.013920740224843353,0.07298961466571052,0.11075272948672876
1289419,2016-11-03,2016-11-04,0.9741797774894104,1.02107324,-0.04689346251058957,0.6879603137603223,,-0.015339561746565922,-0.031097527120093282,-0.01796259182473503,-0.015619802415757666,-0.1157090069486868,Softw,0.021173060701574764,0.02781609972463084,0.016570737805740476,0.0020456312578127633,-0.14282659452554536
1327567,2016-11-18,2016-11-21,0.8660055186976168,1.01082387,-0.1448183513023833,0.7146581753476536,0.0,-0.215661331088715,-0.223396135808129,-0.12219857409403367,-0.3951429446299576,-0.37031082321518227,Softw,-0.18869842821258476,-0.20004771619529904,-0.12966374555910032,-0.4214537149955445,-0.45164772883486115
1208208,2017-02-23,2017-02-24,0.9251101528870215,1.0037033,-0.07859314711297849,10.322644973966412,0.0,-0.06557960226098303,-0.03206729801813246,-0.09063450959366237,-0.052444998380798635,-0.04226337683604897,Telcm,-0.058858820857534355,-0.03657641473019868,-0.03841828821458404,0.02064864206033501,0.0057482654237268616
1122897,2014-11-12,2014-11-13,0.9971661379736719,1.00029982,-0.003133682026328022,2.3824138465950426,,-0.059741863723682176,-0.030067919599908843,-0.09422836189861072,-0.054245650253420874,-0.0783775258076419,Softw,-0.05242660340216543,-0.01660572594684695,-0.05717659415073428,-0.04059623309967664,-0.0690181220803644
1131096,2018-02-14,2018-02-15,1.007840872571394,1.0124036299999999,-0.00456275742860579,0.9403533353214617,,0.009798353338367094,0.0405602326273089,0.06824363779991072,0.12314076686096054,0.006261596285317861,Softw,-0.014403233129232973,0.03331762359459878,0.027535364574675647,0.0650991380259982,-0.062347183785585125
1131096,2016-12-14,2016-12-15,1.2136271637805498,1.00238988,0.21123728378054984,1.8783710320772553,,0.1206135686333073,0.3216838442611669,0.17854741837499621,0.22100300857855082,0.3862950109337946,Softw,0.14144027371757562,0.30408141503128916,0.15477811816772635,0.16819373376568514,0.30422855271182736
1131096,2015-12-09,2015-12-10,0.9907337968601629,0.9826390999999999,0.008094696860163064,0.7963044842232548,,0.005177473063696425,-0.03970276961367025,-0.11442993155829262,-0.1910977014110128,-0.2341146313075121,Softw,0.011288384066974189,-0.04074098819318961,-0.09261563746887624,-0.17566203822390458,-0.2025680086316889
1131096,2010-12-15,2010-12-16,0.9701775545199243,1.0085104999999999,-0.0383329454800756,0.8655397424877526,,-0.049485959402125856,-0.02348762047949604,-0.030168869983620672,-0.03612885497252827,-0.0696137088133768,Softw,-0.037716320417442106,-0.01640003930854106,0.004891027409287485,-0.006432004052861373,-0.027700338185057793
1324245,2015-03-11,2015-03-12,0.9980210077867234,1.0070270399999999,-0.00900603221327645,0.8970631878334826,,-0.004349837253781574,-0.05952384883015294,-0.06876121657274781,-0.2859487102790429,-0.01802632530701087,Softw,-0.010091920968855028,-0.08175443328138632,-0.07705197313870094,-0.3466531220773842,-0.06266660808740665
1324245,2015-07-10,2015-07-13,0.9974436297124756,1.0161535800000001,-0.018709950287524535,0.8942289397324422,,-0.14558998890472108,0.04919424098951308,0.31172071017123315,0.27771927463895385,0.2985605348360124,Softw,-0.185554948596925,0.016348435913219328,0.2443533865244074,0.17014090206578403,0.17159444260322432
1324245,2015-07-16,2015-07-17,0.9907152083801188,1.00039995,-0.009684741619881199,1.2822736842946234,,-0.07074706456778734,0.2620302250639418,0.4165837934310327,0.37906853250982486,0.46899854889089443,Softw,-0.090432007932992,0.23438846397509883,0.37032612099642837,0.2808211216997285,0.3708479072247355
1324245,2015-05-05,2015-05-06,0.9413530752828532,1.0007879100000001,-0.059434834717146945,0.7541756570406087,0.0,-0.006029678513360892,-0.07028894793036489,-0.279978941120856,0.12995886182210636,0.09205919363065429,Softw,-0.003094999785422825,-0.06239370319783488,-0.3095887954867169,0.08771489855055514,-0.010051075101458862
