789019,1107694,1289419,1327567,1208208,1122897,1131096,1324245,1439404,1383871,1448056,1619954,1286225,1528396,1108524,1459417,1401680,1230276,1617640
2016-10-20,2016-10-13,2019-05-29,2016-11-21,2017-02-24,2014-11-13,2018-02-15,2015-03-12,2019-10-30,2016-11-21,2017-05-09,2018-03-07,2018-04-20,2017-03-02,2019-11-20,2017-07-03,2017-08-03,2016-02-11,2019-11-07
2016-06-13,2010-05-03,2019-01-11,,,,2016-12-15,2015-07-13,2019-07-31,,2016-11-07,,2014-03-24,,2018-09-26,2017-05-02,2012-05-14,,
,,2016-11-04,,,,2015-12-10,2015-07-17,2019-05-01,,,,2011-07-29,,2018-03-20,,,,
,,,,,,2010-12-16,2015-05-06,,,,,2011-05-05,,,,,,
,,,,,,,2015-02-05,,,,,2011-08-04,,,,,,
,,,,,,,2014-11-06,,,,,2011-08-23,,,,,,
