CIK,day -1,day 0,R,MKT,R - MKT,vol,EA,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
824169,2003-05-19,2003-05-20,1.0600733092611463,1.00289508,0.05717822926114624,0.9643113381234534,,0.04074237236843303,0.2808730372010102,0.19394371653896147,0.313562521445385,0.5889330729685369,Telcm,0.021554564921949515,0.26543685990670385,0.22986940897110308,0.40952437510370787,0.6964522862668134
824169,2003-10-15,2003-10-16,0.9859854719019197,0.99236115,-0.006375678098080373,0.6086120314294884,0.0,0.08730658241286893,0.12589556980439576,0.20947978466898665,0.07117131777155694,0.04981439544934396,Telcm,0.0710756472886922,0.12619242160272282,0.15385218999568528,0.06242984115130512,0.04891983937781563
824169,2003-01-07,2003-01-08,1.017467232541196,1.00524674,0.012220492541195949,0.5597156972697143,,0.00832188749284879,0.051034658141444256,-0.06127450958292224,-0.01603139138461862,0.2529136654649542,Telcm,0.07930646990371626,0.1495753427080183,0.05718688573906272,0.08840332415949326,0.3526512735116798
824169,2003-07-16,2003-07-17,1.0004992625331492,0.9961434,0.004355862533149235,0.7223323751466032,-1.0,-0.08559995845823765,-0.11371024523807183,0.01867655225669429,0.0921616988131797,0.30475169095061583,Telcm,-0.06451405319706893,-0.07675468223121562,0.10130165768736998,0.18563335107495638,0.3523533419904814
824169,2003-04-22,2003-04-23,1.1214574861269353,1.00072791,0.12072957612693536,1.1830408222571038,0.0,0.09328368584226543,0.1219438390239378,0.513695872947554,0.42882425584263695,0.5583200685594303,Telcm,0.040292767048349054,0.03732474457797852,0.4686217602945837,0.41207504603726797,0.6091044111863735
816761,2018-11-16,2018-11-19,0.9475218773851345,0.9630478,-0.015525922614865517,0.882246463205816,,0.011212139440786917,0.09415627710257102,0.20587087930806192,0.11410236790436867,-0.06438907861563858,Softw,-0.000920670373143917,0.053699020926124774,0.14553725136775042,0.013574850075910527,-0.18971769735071187
816761,2018-06-14,2018-06-15,1.0414201183431953,0.9983007199999999,0.043119398343195336,1.666658794068167,,-0.024602901810964917,-0.10222476491611909,-0.1140808718589823,-0.12406870561538741,-0.061370237849281306,Softw,-0.015040607339196321,-0.08501339713158029,-0.09978191664401082,-0.10051905433348673,-0.039358855122707426
816761,2019-05-01,2019-05-02,0.88801086064702,1.00968192,-0.12167105935298006,2.752263111649274,0.0,-0.15038067144882783,-0.1856320796661668,-0.20254680147229465,-0.23370843612504832,-0.37296200965406656,Softw,-0.16581548326066142,-0.18363448984577757,-0.23693522801387967,-0.23872496072391902,-0.3597458583079629
816761,2018-10-31,2018-11-01,0.9826922790740189,1.00753163,-0.024839350925980996,1.035062168274887,0.0,0.032751417119659454,0.07412464882279113,0.2218885295560481,0.2763318502640013,0.18046991258077516,Softw,0.04825954670448762,0.06490919164532827,0.18359653666835252,0.21131884361504505,0.061402785148554795
816761,2019-02-06,2019-02-07,0.9811724211272201,0.99159163,-0.010419208872779806,1.4934520893958738,0.0,-0.022067438456224053,-0.08196861969196412,-0.22064626272170818,-0.31725882332741684,-0.29937058216378276,Softw,-0.01790787673684946,-0.1126628569961935,-0.26537933875685205,-0.36482825574148003,-0.371096502772604
