CIK,day -1,day 0,R,MKT,1d - MKT,vol,EA,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,IDT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
1100682,2014-04-03,2014-04-04,0.9251667122585153,0.97288522,-0.04771850774148467,0.92877803593799,,-0.043133721717237616,-0.11043467065933266,-0.1645527537253183,-0.07260672757865094,-0.06045670660448044,BusSv,-0.0394495077414847,-0.030163537665149565,-0.09992117045116222,-0.15989030329752885,-0.07711772712268716,-0.044779037106116415
1595262,2015-04-24,2015-04-27,0.9768965490933138,0.99728542,-0.020388870906686174,2.730072415925582,-1.0,0.0002379064804617359,0.04873863333063977,0.0722203078655046,0.09694984123322836,0.07256435886852675,BusSv,-0.019680330906686194,2.828484235206652e-05,0.05368348604842199,0.07345214455462645,0.08926461079458614,0.05951752292905954
1125011,2006-03-14,2006-03-15,0.9779762530543161,1.0059052800000001,-0.027929026945684,0.42548518456283335,,-0.050185079500463026,-0.06899161346748217,-0.13403767810365208,-0.09020941539017413,0.12419946327054687,Softw,-0.02190118694568377,-0.060843032790838913,-0.09024542516440048,-0.07589052335488156,-0.03839192992257967,0.14817658124394606
1124610,2019-02-27,2019-02-28,1.0124424891185422,1.0040776800000002,0.008364809118541983,1.3931216294804103,0.0,0.01711783668956257,0.06513372964125552,0.12297140574819898,-0.12727459055997092,-0.20050641823858184,Softw,0.008781969118542232,-0.0021143996665815568,0.039814656055668474,0.0766402743734691,-0.18632457418565063,-0.2697817194816339
1124610,2009-08-07,2009-08-10,0.9545315913852789,0.9843400000000001,-0.029808408614721227,0.5851129389572881,,-0.05006505139250983,0.18883304010240143,0.16086741293047813,0.16658747217608738,0.3041453067785742,Softw,-0.03369360861472104,-0.059267911433657394,0.18634099157413808,0.11204109277691554,0.09874777533246859,0.2714352882200455
1470215,2011-11-04,2011-11-07,0.999381865718405,1.01695808,-0.01757621428159495,1.261370719032548,,-0.0006014756385769315,-0.0638370624086505,-0.14414137084792034,-0.11460974436540838,-0.10938766482880036,BusSv,-0.01504693428159487,0.0010705755954103502,-0.07192348655671887,-0.15705876931482388,-0.11155400176047925,-0.10473201572637003
1470215,2011-08-15,2011-08-16,1.0375111219618063,0.98920107,0.048310051961806266,1.0815182549388271,,0.04201713701521581,0.1209973794903908,0.11023181335102539,0.02090062420273897,0.022839952676269704,BusSv,0.047689521961806314,0.03710669975190761,0.1304927113354305,0.09481736552376496,-0.010229244840306517,-0.008833568334760233
1470215,2010-05-11,2010-05-12,0.9950454609708193,1.00491744,-0.0098719790291808,1.286940370538486,,0.021047202698970757,-0.0695567626624295,-0.0323350731732861,-0.05060095969116296,0.016957486401966593,BusSv,-0.015051539029180772,0.015638046478706924,-0.06086824292464055,-0.01167441635060995,-0.025881537508342767,0.031357522712631924
1470215,2010-04-29,2010-04-30,1.0328444568808008,0.9961660800000001,0.03667837688080078,1.2407031581640664,,0.06550480561895189,-0.011447354249846331,-0.016701366009588603,0.0626626106979874,0.06396985317148374,BusSv,0.040641916880800766,0.06052526797942204,-0.009065719532676875,-0.011360741894021253,0.09287479559732692,0.07236437111773109
1470215,2010-01-26,2010-01-27,0.9742433835799668,0.99343746,-0.019194076420033235,1.1552253402515553,,-0.06244053296000285,-0.057380942453129746,-0.09075660120550078,-0.08951451030542135,-0.1211340790454295,BusSv,-0.02098381642003322,-0.064727146639319,-0.06451215111808928,-0.10734550627984962,-0.0907047236811861,-0.11510583539649188
1125914,2012-04-02,2012-04-03,1.0221438655322161,0.98553774,0.036606125532216094,0.5523176738208271,,0.023028924625466907,0.032497253747479804,0.14815557962634585,0.10967189262772237,0.0793011442255791,Softw,0.041686265532216216,0.030114438547994338,0.027535956407800377,0.16700007036356757,0.13264492694650842,0.09361801797304259
1125914,2011-06-09,2011-06-10,0.9531363942778618,0.9863986299999999,-0.033262235722138156,1.5771076558602817,,-0.04052678591689485,-0.1394702684102358,-0.17632620385793707,-0.333116060395826,-0.5368480220736022,Softw,-0.035050805722138034,-0.03888186764234447,-0.17789446994802716,-0.21085835407448916,-0.4210061438994819,-0.5984109464453069
1443646,2018-08-06,2018-08-07,1.0152546218114034,1.00249884,0.012755781811403466,1.472756810793755,,0.030427025157300447,0.012274767159502709,0.07769233313290846,0.11254528941861242,0.06280456536298962,Softw,0.00784129181140325,0.04890026587909213,0.03329583194552943,0.09730842023399067,0.11420400475021641,0.05643642168681884
1443646,2018-07-06,2018-07-09,1.003064785217012,1.0114195300000002,-0.008354744782988144,1.4113186261767305,,-0.00311978339766128,0.05973323594532132,0.03487513123349495,0.1612562912680523,0.10017247453740663,Softw,-0.0019212147829879012,-0.027343130769501123,0.0857363931382118,0.056935596459953164,0.21418650811734186,0.10853326571271982
1443646,2018-02-05,2018-02-06,1.015242175639908,1.01293821,0.002303965639907979,1.5508597144231708,-1.0,0.014407660227598873,0.04001191746016186,0.07117213744407536,0.1643771549291808,0.15603557661137502,Softw,0.0057925556399078815,-0.0051937224856453135,0.015896471270774093,0.03515359610583513,0.09208741889910455,0.10066652771043572
1443646,2017-11-10,2017-11-13,1.0,0.99869802,0.0013019800000000359,1.524592910475364,,0.008726396906304723,0.004916408695743613,-0.0291671584627764,0.0005975046353490221,0.05475314756963923,Softw,0.0003000999999999143,0.010072035787520806,0.03905004843486304,-0.0330384367291896,-0.029142090757537487,0.006475442070103643
