CIK,day -1,day 0,R,MKT,1d - MKT,vol,EA,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,IDT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
1634997,2019-04-23,2019-04-24,0.9795606547084591,0.99630322,-0.016742565291540945,2.056773560288475,0.0,-0.04491416796375913,0.025158878030324794,-0.06974376091240164,-0.019277353022357224,-0.04837276901757015,Util,-0.028050895291540923,-0.05364141522983723,-0.054123507753815914,-0.10190616671424668,-0.09877237955108087,-0.1354975342461595
1634997,2019-02-18,2019-02-19,0.9554513722996925,0.99819297,-0.0427415977003075,2.6341654716812837,0.0,-0.04656746449107274,-0.04568117804561367,-0.048085998207984204,-0.061537281732046756,-0.05329913778732531,Util,-0.05527022770030743,-0.07509271635303505,-0.062077446911330325,-0.0694774294064533,-0.08659734546969,-0.1163927036404615
1634997,2018-10-22,2018-10-23,1.0086241922456993,0.96070646,0.047917732245699285,1.1913797333623484,0.0,-0.013262014367271258,0.08911510256481903,0.050656003759507295,-0.009854269584644082,0.0047116632596035934,Util,0.003943872245699254,-0.007148038526537115,0.04671106153882287,0.019478078964359935,-0.06183090475931985,-0.018111852628639902
1634997,2018-07-23,2018-07-24,0.9540845321434769,1.01051826,-0.05643372785652312,0.6321276377407372,0.0,-0.050507585382362,-0.06382811912460129,-0.08080795169401278,-0.015057381097302591,0.010603201387110683,Util,-0.05052050785652307,-0.05734983487109413,-0.07279653291109955,-0.11975973295341824,-0.08658170122701869,-0.07886367550891649
1634997,2018-06-28,2018-06-29,1.010077938348719,1.00430252,0.005775418348719086,0.9083204501455452,,-0.022333392190331258,-0.09813901770917721,-0.16694011998202996,-0.09035977895011416,0.08662455825731041,Util,0.004173858348718973,-0.003598284794874562,-0.08125708065339254,-0.10631568130737556,-0.1206072954154841,-0.04637866337887764
1634997,2018-03-15,2018-03-16,0.9939903996781969,0.9886654999999999,0.005324899678197048,0.99511064229773,,0.07806029915328572,0.09190419235696745,-0.015871697103451154,-0.039614637299593136,-0.04379044244843211,Util,-0.007211020321802986,0.01852823422963268,0.01911150958564045,-0.003558220496402864,-0.07686881758203556,-0.10490337181611542
1634997,2018-02-19,2018-02-20,0.9814440913742293,0.99579957,-0.01435547862577069,1.2509181147057882,0.0,-0.034972796593103705,0.04952530661889998,0.030063448273780047,0.059362821184761216,-0.04889217824028358,Util,0.005992291374229186,-0.006638815778724938,0.029867107381142288,0.031630704003883015,0.004343933089075325,-0.09125718675225603
1634997,2018-01-31,2018-02-01,1.0018472937260448,0.97899361,0.022853683726044793,1.255304691348878,,0.04740208417758074,0.04208810185252587,0.13848370823590916,0.03064114605823287,0.007156260545620796,Util,0.024023873726044753,0.044202600082222654,0.03713223203067517,0.07029273096909727,0.04565536160257666,-0.026139716503592814
1634997,2017-12-27,2017-12-28,0.9976331571976519,0.99648746,0.001145697197651896,1.4355386078539956,,-0.08332499971369878,-0.04419784030172935,0.01758682475256068,0.012090676311276916,-0.03128542934472467,Util,-0.008062362802348066,-0.016260110657529303,0.009258240088691472,0.039529148226338906,0.05944233985019143,0.01516028089452337
1634997,2017-06-22,2017-06-23,1.0026332879677071,1.0028009599999999,-0.00016767203229273164,0.3625462291691772,,-0.043547234316784755,-0.001488528338182693,-0.008156965560172091,0.06754733193588991,0.026487628624743298,Util,-0.004965942032292947,-0.0186392408144076,-0.0026005649457776503,-0.004981157482552678,0.08918708595745128,0.08268482787099707
1634997,2016-06-20,2016-06-21,0.99815630289277,1.0000958,-0.0019394971072299594,0.8319677434748981,,0.06267278913364338,-0.006999933003843495,-0.09056017128506855,-0.14912921303233617,-0.2589650762959741,Util,0.0004794828927700001,0.02334229350282646,0.00565403841875356,-0.052307892663657096,-0.10817520169104422,-0.14887503519071066
784977,2008-06-23,2008-06-24,0.9898989996293702,1.00096544,-0.01106644037062987,1.8027247424190636,,0.018985475864847223,0.004266185036081782,0.12141930281776714,0.14800106839402927,0.1010131141953805,Util,-0.009172580370629624,-0.011783772468665799,0.08907130305330635,0.21079349122520996,0.1457254594803018,0.07446903402644589
784977,2007-02-27,2007-02-28,1.0350442396855999,1.00218825,0.032855989685599996,0.8192459507281885,1.0,0.0135733056294699,0.02974279196659224,-0.032959325756071856,-0.1017670857436771,-0.06797607881229628,Util,0.030542979685600047,0.004581970311039241,-0.009481433155827057,-0.04654904913325808,-0.08286729893774647,-0.07723107336077795
1317630,2015-02-05,2015-02-06,0.9384143335400918,0.9934092,-0.05499486645990814,1.358637595184163,,-0.07843855523960419,-0.1481760779888972,-0.17653277138168255,-0.26317909072909307,-0.2272843870535407,Util,-0.019476346459908034,-0.014536878052615942,-0.06873496143204527,-0.08957023466998804,-0.1352832273634541,-0.10146226017434523
1317630,2014-02-28,2014-03-03,1.02836253485373,1.0095831,0.018779434853730015,1.3790984435011118,,0.06712791528198281,0.09735060067722723,0.060432978820852856,0.002659914966781418,0.027529401353391103,Util,0.027157174853730037,0.052564694030014625,0.03739083069529303,0.016425936693678977,-0.0496900884472411,-0.0013955317671614509
1317630,2013-04-15,2013-04-16,0.9956887088923766,0.99988538,-0.004196671107623451,1.2468574885275974,,-0.012030777168111406,-0.11068361300029017,-0.06688436333016878,-0.09639089980241977,-0.09505423883549868,Util,-0.010120991107623323,-0.02430926949154677,-0.014571697583759535,0.023152130195387643,0.017580713023839345,0.04827556744722272
