,Annual return,Cumulative return,Annual volatility,Max drawdown,Alpha,A.pvalue,Beta,B.pvalue
1177609_2015-12-03_2016-04-13,1.8697237531591546,1.4571837474487277,0.033693037101610944,-0.09405533280383871,0.011672183541785452,0.035295037833499764,0.815929247711225,7.3111225473725055e-06
1177609_2015-09-02_2016-01-11,-0.27535119261124197,0.8913444505184761,0.04103272917461993,-0.2765061506350851,-0.002801200503765311,0.6995898227318922,0.602172976549359,0.016933114951893088
1177609_2015-06-24_2015-10-29,-0.3870446791785995,0.8396179625641815,0.035406717923777274,-0.22265912439710422,-0.004789032737009147,0.4265434839912644,0.6640764813757019,0.00036686821166520995
1177609_2015-06-03_2015-10-08,0.015230839348854941,1.0054131752041608,0.03540251498909247,-0.22265912439710422,0.002508814512588442,0.6701258128815557,0.7668227685342219,7.910316885413467e-05
1177609_2015-03-25_2015-07-31,0.45858990335295524,1.1443202214466035,0.0308368433774095,-0.10862615674909382,0.00486305458365921,0.37878747889487907,0.3220620385260422,0.3000944879628546
1177609_2015-03-16_2015-07-22,0.7534525936182845,1.2220951210588182,0.031480445262354224,-0.10013533657759899,0.006632046789627477,0.2299335908473899,0.23433601665457893,0.45602025497959653
1177609_2015-03-13_2015-07-21,0.6701291470809339,1.2010292688750526,0.03164554609464274,-0.10013533657759854,0.0064124651772115016,0.24862899845891154,0.20049498553044007,0.5196196218064328
1177609_2015-02-23_2015-06-30,0.8310011006507365,1.241130245081424,0.03412093154698131,-0.11790127846511489,0.005634744774633882,0.3396848898361088,0.6807712799870688,0.03517353504966206
1177609_2015-01-12_2015-05-20,-0.05353819716599528,0.9805401691053182,0.033491349875206036,-0.17279303748726593,-0.002103473504393105,0.7026046801917348,0.7522141505149027,0.006025575278519107
1177609_2015-01-08_2015-05-18,-0.46977091965017537,0.7972492556858889,0.04784208625443397,-0.3448710619207773,-0.007652521799055512,0.3416972148207845,1.1381482944093717,0.0038556912221532876
1177609_2014-12-22_2015-05-01,-0.28981070258616226,0.8849512146833143,0.04956172213600137,-0.34487106192077677,-0.0032832851381329187,0.6942114090852288,1.071264774167191,0.005521720113391875
1177609_2014-12-04_2015-04-15,-0.37154200675332993,0.8471412025599864,0.05460831962998891,-0.3448710619207771,-0.006042879941786872,0.5329964293683582,0.8602987409768869,0.030114630333602246
1177609_2014-09-10_2015-01-16,-0.4601962278803764,0.8023612931887251,0.05586267212741576,-0.2884697627194508,-0.007103126868751364,0.45633964225767654,0.9809543355797038,0.010176677799259994
1177609_2014-06-30_2014-11-04,-0.09843483770204131,0.963668234315129,0.03499987087256428,-0.14724835409619907,8.184532231680919e-05,0.9866532455939865,1.0461413532175108,1.9247114371748526e-05
1177609_2014-06-12_2014-10-17,0.16335593856350306,1.055525645768637,0.034945258282057856,-0.1504075055602343,0.005659996067760131,0.24718762247715878,1.3507180851007021,7.4646271854226e-07
1177609_2014-06-04_2014-10-09,0.25350892987620655,1.084040509099719,0.034056638447210436,-0.15040750556023386,0.004316417986119925,0.3878221876129494,1.4682882205216485,7.23749806469255e-07
