CIK,day -1,day 0,R,MKT,1d - MKT,vol,EA,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,IDT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
18169,2012-09-20,2012-09-21,0.9944250925728682,0.9977989599999999,-0.0033738674271317493,2.400726374216794,,-0.06682208220191732,-0.14130219189652715,-0.1936218264377757,-0.27313349368579865,-0.32885932429484876,Agric,-0.004573947427131686,-0.06967559939755319,-0.13845083028427907,-0.20723902888578793,-0.3388327283207667,-0.36533318295737804
18169,2012-09-17,2012-09-18,1.015328470151144,1.0002973000000002,0.015031170151143858,4.063723044816567,,0.023594333735923456,-0.06002774777571951,-0.10976672435443224,-0.21971753680564654,-0.30207083945839586,Agric,-0.007582729848855996,-0.008351789101751494,-0.0603505448243703,-0.1385126852035049,-0.3243558846504284,-0.37284497639111625
18169,2011-10-13,2011-10-14,0.9800598390239533,0.9962456800000001,-0.016185840976046806,0.8938166429322638,,-7.645862472016596e-05,-0.1653173463128258,-0.24551869320857667,-0.15335425265047153,-0.18380358054489054,Agric,-0.010396460976046518,0.017934282167277438,-0.12443208239197989,-0.2575780576925524,-0.10315793173887944,-0.08567852752344929
18169,2011-05-19,2011-05-20,0.9436936924036544,0.97989417,-0.03620047759634559,0.3598002098760396,,0.028326008239563105,0.021837548553350294,-0.013585701616583457,-0.08816263489669152,-0.1353277565337856,Agric,-0.05994810759634561,-0.01772153543080579,-0.06657989658605867,-0.13991498962425075,-0.1575656343536631,-0.27496582866888464
1110783,2017-01-26,2017-01-27,0.988797783945833,0.99200816,-0.0032103760541670745,0.7227896695404412,,-0.02945694901144358,0.007649329269603822,0.022494067822862673,0.01046648004429196,-0.016597970106936977,Agric,-0.0009269160541670596,-0.0008235661640559888,0.010097134448689093,0.007998716039236076,0.010048138476994595,0.005113481944061027
1110783,2013-01-30,2013-01-31,0.9955221775641365,1.00909208,-0.013569902435863535,0.7696291914719604,,-0.024048558688639088,-0.03147178025831021,-0.02914034658378295,-0.07892564008699732,-0.15329959905816126,Agric,-0.0005669424358634156,-0.001247719720378515,-0.0005807685218923719,-0.004011951236769562,-0.014729088920162337,-0.02694525544105797
1110783,2008-03-31,2008-04-01,1.0044843049327354,1.03276967,-0.028285365067264534,1.1914513197779293,1.0,0.09097595076037024,0.01783692635657186,0.17113222538103012,-0.004116061717149622,0.09661211420355043,Agric,-0.0019988950672644723,0.006831257931811718,-0.004926618291443363,0.015511028033142082,-0.010565687136865232,-0.004275611091016929
1110783,2007-08-09,2007-08-10,0.9722182197889379,0.9996998199999999,-0.02748160021106205,1.3890506757833,,-0.037530281963537804,0.10117295749145194,0.31453353925175787,0.4602757625620749,0.6953742953382609,Agric,0.0035870697889378578,0.0016258298847713348,0.01661123672842324,0.0330000718594492,0.04449577438525787,0.06909111738956031
1509991,2012-05-10,2012-05-11,0.9373321571634803,0.98573306,-0.048400902836519766,1.3243254397332298,,-0.0016528692641678555,-0.03376654062140694,-0.16042410055063516,-0.0597250501285258,-0.012162825709129965,Oil,-0.03998484283651971,0.004586021877581281,0.003098194198943749,-0.18605768516751164,-0.076145691530638,-0.01881712236219757
1335793,2009-10-21,2009-10-22,0.9115646530658134,0.99807085,-0.0865061969341866,1.2197969843887315,0.0,-0.1630181929084964,-0.2568578111917028,-0.24722943778397732,-0.3109561122595147,-0.04432571979399924,Oil,-0.07747681693418662,-0.14911409101759,-0.19343925809281926,-0.17342072797806718,-0.20805593658632848,0.08010183993912601
1655020,2017-08-08,2017-08-09,1.0188841437109466,0.98372086,0.03516328371094657,1.0843116990237784,,0.04377875175149826,0.19050929915587922,0.33839267704900866,0.18298955392475547,0.05577962040690121,Oil,0.02799650371094653,0.06765301457035655,0.1575324960722173,0.2949363528879638,0.16612314976093723,0.009944496444729278
1655020,2017-07-17,2017-07-18,1.021995341454373,1.00630236,0.015692981454372923,0.9124713860469247,,-0.060692531280265416,-0.033787075376584985,0.17893116317715796,0.14782388596370777,-0.007712280164971164,Oil,0.010482701454373133,-0.06980391040169531,0.0041427179394860625,0.15254377155657606,0.1313473316480962,-0.0848542791275928
1655020,2017-05-08,2017-05-09,1.0484183351247305,1.00159895,0.046819385124730495,0.9857112571873353,,0.06005175966360343,-0.17963612087897873,-0.2978537855005281,-0.15722695753932214,-0.0926091662091788,Oil,0.04345463512473047,0.05562238986209356,-0.11066702672410433,-0.22606824739327858,-0.09651410902121815,-0.03041373222381827
1599222,2015-05-26,2015-05-27,0.9890397136667533,1.00808884,-0.019049126333246846,0.5140103306499231,,0.03736561951775852,-0.051643419375081434,0.02484086900837501,0.019384751861226124,-0.10424116216013335,Oil,-0.006864366333246719,0.04344532768613529,-0.0004204709442230392,0.16592170231574677,0.12048061077815919,-0.013332466262243492
1090012,2019-04-29,2019-04-30,0.973105102833603,0.9913033200000001,-0.018198217166397135,1.042943120553983,0.0,-0.021297361884539012,-0.1934082776038556,-0.23344305864494508,-0.2834809731286292,-0.3929856568597302,Oil,-0.004297147166397064,-0.022939509718192808,-0.12446078015834372,-0.15122577192733822,-0.16091301053567164,-0.24455070788908184
1090012,2019-02-18,2019-02-19,1.0543977726802842,0.99819297,0.05620480268028427,2.15707343185154,0.0,0.020279255822648112,0.057265674176316006,0.07746005451659776,-0.04083292711568154,-0.19061132376105738,Oil,0.04779264268028438,0.011958030768989936,0.0720444435785581,0.13057309948995188,0.05204000881061022,-0.05157058284943594
