CIK,day -1,day 0,R,MKT,1d - MKT,vol,EA,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,IDT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
1082754,2011-06-29,2011-06-30,1.0223513625946354,1.02454355,-0.002192187405364532,2.569991121633619,,0.01237931859120689,-0.09980227273308939,-0.14301382344193125,-0.042019187409032654,0.03296315595291821,BusSv,-0.003613837405364695,0.02461926453559271,-0.0631069353904502,-0.09734684243033542,-0.01980095763471923,0.04505982535878017
1082754,2011-05-26,2011-05-27,1.0351201594416612,1.01535096,0.019769199441661334,0.4761397079238159,,-0.007026616659795426,0.056908917618392674,-0.0173490769221174,-0.0648487827373434,-0.03756912034457138,BusSv,0.016249439441661018,-0.00976253104486513,0.05721618172811971,0.019219544633222063,-0.028929071949039153,-0.01358261776212788
1395942,2017-06-02,2017-06-05,0.9811490097239673,0.99550476,-0.014355750276032642,0.5660310532292029,,-0.03584433227967676,-0.09617292199730387,-0.006293058917222871,0.012549961970709678,0.016375458993770575,BusSv,-0.010368150276032662,-0.03723502661292122,-0.11503548167601496,-0.021586841793641898,-0.018341514698324568,-0.021335715202651206
1395942,2017-05-30,2017-05-31,1.024742221732045,1.0092981,0.015444121732044902,0.5762851229698713,,-0.015399242278572034,-0.0826430416860452,0.007341585868568812,0.027554578581875155,0.011649118107578182,BusSv,0.004647061732044877,-0.018164224436432175,-0.107427864968629,-0.012475935990472253,-0.0075830766974569475,-0.03203061411168506
1395942,2016-03-08,2016-03-09,1.0200000339084194,1.0038945,0.01610553390841951,0.6890856262831403,,-0.003840331549748832,0.00475762524388168,0.0660531313762529,0.06913164738586253,0.05465218567616925,BusSv,0.02153253390841947,-0.0013523077736217193,-0.0050719519661732715,0.02672257393510913,0.023477241931783688,0.02097655701204615
1395942,2014-03-11,2014-03-12,0.9770919117495354,0.9891842700000001,-0.01209235825046473,0.8056885684930036,,-0.03373732526992257,-0.030177094562601092,-0.02669433035378388,-0.07579369388831447,-0.10198704857188223,BusSv,-0.00638872825046477,-0.01718006817930884,-0.0022312170470294435,-0.008345314548008353,-0.052612998526193056,-0.08281178138990108
1395942,2013-12-16,2013-12-17,0.9765030997710056,1.0128597,-0.03635660022899434,1.5987794512921003,,0.0033877505700368182,-0.04137937063905828,0.03041891746312686,-0.02936187201429097,-0.0026310795172734824,BusSv,-0.03654860022899453,-0.004524958852508032,-0.03735167913899651,0.039609600285271496,0.015432088042051761,0.026179940862470108
1395942,2011-05-16,2011-05-17,1.0492993686052587,1.00908878,0.040210588605258835,0.8273473912577034,,0.07655212451098514,-0.017164590702656635,-0.17401948498093267,-0.21344545873261034,-0.27063824792952673,BusSv,0.03773133860525868,0.07125473567636975,-0.014733996139397632,-0.13109645487274602,-0.17102289210110244,-0.24874385596765558
1024657,2016-06-20,2016-06-21,0.9768339981591153,1.0000958,-0.023261801840884666,1.0675642608795597,,-0.07433061405545649,0.08821279337499499,0.01426194116936963,-0.0691269258502688,0.10508946667968644,BusSv,-0.02126534184088469,-0.07012307808037854,0.08965556145172693,0.003943965890930157,-0.06404780933791232,0.11989119760438505
1024657,2015-11-23,2015-11-24,1.0047355537159512,1.00300189,0.0017336637159512946,0.5347787358162922,,0.023138079296053493,-0.15128219097612683,-0.07282680383950968,-0.09133632230167787,-0.1725559559332659,BusSv,0.0021345037159512525,0.030080966034368606,-0.13044856107530278,-0.049980537234495914,-0.07355139980070047,-0.17115419111309282
1024657,2014-07-02,2014-07-03,0.9927588429810833,0.9996634200000001,-0.00690457701891678,6.857116194238131,,-0.018305536062583228,0.030809310573685966,0.09424031386600895,0.08276702758820398,0.14875069890429704,BusSv,-0.007543187018916764,-0.02114636976038098,0.019317630874319147,0.09817812507544288,0.046231476955241435,0.11544618349903657
1024657,2014-01-24,2014-01-27,1.006794567273525,1.00075255,0.0060420172735249356,1.283741306777457,,-0.06923966201957266,-0.08102848511441962,-0.041441887336407524,-0.0012223936443611638,-0.017203122532046367,BusSv,0.006795567273525038,-0.05611524188514905,-0.07156669346734357,-0.005170731825017594,0.03261825131889351,0.01509872221748676
1060391,2018-06-08,2018-06-11,1.0171454547914205,1.0035027600000002,0.013642694791420329,0.8342085771123943,,0.0391104992527872,-0.010635330684238609,0.045627747687337905,0.05185299572004087,0.15177381490776287,Other,0.015946784791420532,0.05619883599814002,-0.003764140495758017,0.02947083001040962,0.017230820084084497,0.1103211440203562
1060391,2018-05-11,2018-05-14,0.9936680859669026,0.9949972499999999,-0.001329164033097352,0.7769298694649642,,-0.0019978490161317586,0.015293377007605136,0.024155447910779726,0.025602716057235186,0.059987564535101234,Other,-0.0010308140330974602,0.01814745381380345,0.05846699671255273,0.04404289998504263,0.027251441466584092,0.0852872656845769
1060391,2014-05-07,2014-05-08,0.996870537536944,0.9998934999999999,-0.0030229624630558893,0.5878664912132533,,-0.01696264171592765,0.01659670177997019,0.04300540815083376,0.049866196823248554,0.05851142356574046,Other,0.0009827375369440006,-0.0032048618813479424,0.05383603352004607,0.08072944028339557,0.07346168513149687,0.06843606007606806
1060391,2012-05-16,2012-05-17,1.000770137015499,0.9757312,0.025038937015499085,1.4120012824031491,,0.039727618680770016,-0.008671989724791329,0.04955843380556013,-0.024726955029394704,-0.013329759026666776,Other,0.012540617015499134,0.024751557791534595,-0.04092556472677744,0.032711698023913716,-0.05227946479794765,-0.03326081959871674
1060391,2012-05-07,2012-05-08,0.9847583697685384,0.9897254200000001,-0.0049670502314617115,1.1070531908682197,,0.028437360832909042,-0.017975801379675027,0.06050491140317349,-0.013842807456660333,0.011739090457413948,Other,-0.0001751102314616615,0.01052636527423867,-0.03974449703316041,0.016705614471103303,-0.03358858025567324,-0.014504993353963602
1060391,2011-07-28,2011-07-29,1.0003478340480627,0.9904223999999999,0.009925434048062787,0.7576396109659913,-1.0,0.03343750414509139,0.09340129276534481,0.06282299494670684,-0.02366758677511971,-0.03766513083572054,Other,0.006686214048062689,0.02413511423878778,0.1042245208426934,0.057090270588120884,-0.03166441191156333,-0.07656171015771984
