316206,1546417,1524358,940944,1468174,1174922,1357204,1584509,1618756,1525769,745308,1002579,1636222,858339,1048286,1058090,1585689,1300514,7032,1673358,1566897,1620533,1653653,1041061
,,,,,,,,,,,,,2016-10-21,,,,2014-04-24,,,,,,
,,,,,,,,,,,,,2016-10-17,,,,2014-01-29,,,,,,
,,,,,,,,,,,,,2016-11-07,,,,2014-08-28,,,,,,
,,,,,,,,,,,,,2016-09-29,,,,2013-10-17,,,,,,
,,,,,,,,,,,,,2016-09-21,,,,2013-06-06,,,,,,
,,,,,,,,,,,,,2019-06-25,,,,2013-07-24,,,,,,
,,,,,,,,,,,,,2016-09-27,,,,2012-11-26,,,,,,
,,,,,,,,,,,,,2016-08-02,,,,2013-05-01,,,,,,
,,,,,,,,,,,,,2016-08-01,,,,2017-03-30,,,,,,
,,,,,,,,,,,,,2016-05-20,,,,2013-01-30,,,,,,
,,,,,,,,,,,,,2016-05-09,,,,2012-11-01,,,,,,
,,,,,,,,,,,,,2016-03-16,,,,2012-06-13,,,,,,
,,,,,,,,,,,,,2016-05-05,,,,2012-07-25,,,,,,
,,,,,,,,,,,,,2016-02-23,,,,2012-04-25,,,,,,
,,,,,,,,,,,,,2015-11-09,,,,2012-02-01,,,,,,
,,,,,,,,,,,,,2015-08-04,,,,2012-01-06,,,,,,
,,,,,,,,,,,,,2016-07-11,,,,2011-10-27,,,,,,
,,,,,,,,,,,,,2015-07-01,,,,2011-06-16,,,,,,
,,,,,,,,,,,,,2015-05-06,,,,2011-07-26,,,,,,
,,,,,,,,,,,,,2015-02-05,,,,2015-03-26,,,,,,
,,,,,,,,,,,,,2015-03-02,,,,2011-05-03,,,,,,
,,,,,,,,,,,,,2017-12-22,,,,2016-03-23,,,,,,
,,,,,,,,,,,,,2015-01-15,,,,2010-11-15,,,,,,
,,,,,,,,,,,,,2017-05-12,,,,2011-02-03,,,,,,
,,,,,,,,,,,,,2015-07-21,,,,2010-08-18,,,,,,
,,,,,,,,,,,,,2015-01-09,,,,2010-10-27,,,,,,
,,,,,,,,,,,,,2015-01-08,,,,2010-06-09,,,,,,
,,,,,,,,,,,,,2015-08-24,,,,2010-07-28,,,,,,
,,,,,,,,,,,,,2015-01-12,,,,2010-05-06,,,,,,
,,,,,,,,,,,,,2014-12-19,,,,2014-03-27,,,,,,
,,,,,,,,,,,,,2014-10-17,,,,2013-03-21,,,,,,
,,,,,,,,,,,,,2014-10-10,,,,2012-04-26,,,,,,
,,,,,,,,,,,,,2014-11-10,,,,2011-04-20,,,,,,
,,,,,,,,,,,,,2014-09-12,,,,2010-05-10,,,,,,
,,,,,,,,,,,,,2014-08-08,,,,,,,,,,
,,,,,,,,,,,,,2014-07-29,,,,,,,,,,
,,,,,,,,,,,,,2014-07-08,,,,,,,,,,
,,,,,,,,,,,,,2014-06-30,,,,,,,,,,
,,,,,,,,,,,,,2014-06-27,,,,,,,,,,
,,,,,,,,,,,,,2014-11-12,,,,,,,,,,
,,,,,,,,,,,,,2014-06-17,,,,,,,,,,
,,,,,,,,,,,,,2014-06-06,,,,,,,,,,
,,,,,,,,,,,,,2014-06-04,,,,,,,,,,
,,,,,,,,,,,,,2015-10-08,,,,,,,,,,
,,,,,,,,,,,,,2014-05-20,,,,,,,,,,
,,,,,,,,,,,,,2014-08-11,,,,,,,,,,
,,,,,,,,,,,,,2014-12-22,,,,,,,,,,
,,,,,,,,,,,,,2014-05-07,,,,,,,,,,
,,,,,,,,,,,,,2014-03-27,,,,,,,,,,
,,,,,,,,,,,,,2015-08-03,,,,,,,,,,
,,,,,,,,,,,,,2014-03-18,,,,,,,,,,
,,,,,,,,,,,,,2013-11-18,,,,,,,,,,
,,,,,,,,,,,,,2013-11-12,,,,,,,,,,
,,,,,,,,,,,,,2013-10-29,,,,,,,,,,
,,,,,,,,,,,,,2013-10-18,,,,,,,,,,
,,,,,,,,,,,,,2014-03-11,,,,,,,,,,
,,,,,,,,,,,,,2013-10-03,,,,,,,,,,
,,,,,,,,,,,,,2018-06-01,,,,,,,,,,
,,,,,,,,,,,,,2013-09-26,,,,,,,,,,
,,,,,,,,,,,,,2014-04-16,,,,,,,,,,
,,,,,,,,,,,,,2013-10-29,,,,,,,,,,
,,,,,,,,,,,,,2013-12-04,,,,,,,,,,
,,,,,,,,,,,,,2014-05-06,,,,,,,,,,
,,,,,,,,,,,,,2013-07-25,,,,,,,,,,
,,,,,,,,,,,,,2013-04-29,,,,,,,,,,
,,,,,,,,,,,,,2014-05-21,,,,,,,,,,
,,,,,,,,,,,,,2013-04-23,,,,,,,,,,
,,,,,,,,,,,,,2013-07-29,,,,,,,,,,
,,,,,,,,,,,,,2013-05-01,,,,,,,,,,
,,,,,,,,,,,,,2014-03-03,,,,,,,,,,
,,,,,,,,,,,,,2012-11-15,,,,,,,,,,
,,,,,,,,,,,,,2013-02-25,,,,,,,,,,
,,,,,,,,,,,,,2014-04-10,,,,,,,,,,
,,,,,,,,,,,,,2012-10-31,,,,,,,,,,
,,,,,,,,,,,,,2012-08-15,,,,,,,,,,
,,,,,,,,,,,,,2012-06-01,,,,,,,,,,
,,,,,,,,,,,,,2013-02-04,,,,,,,,,,
,,,,,,,,,,,,,2012-05-08,,,,,,,,,,
,,,,,,,,,,,,,2012-08-06,,,,,,,,,,
,,,,,,,,,,,,,2012-05-01,,,,,,,,,,
,,,,,,,,,,,,,2012-02-08,,,,,,,,,,
,,,,,,,,,,,,,2012-02-29,,,,,,,,,,
,,,,,,,,,,,,,2012-12-05,,,,,,,,,,
,,,,,,,,,,,,,2012-02-02,,,,,,,,,,
,,,,,,,,,,,,,2011-11-08,,,,,,,,,,
,,,,,,,,,,,,,2011-08-09,,,,,,,,,,
,,,,,,,,,,,,,2013-09-24,,,,,,,,,,
,,,,,,,,,,,,,2014-07-28,,,,,,,,,,
,,,,,,,,,,,,,2010-06-09,,,,,,,,,,
,,,,,,,,,,,,,2010-06-04,,,,,,,,,,
,,,,,,,,,,,,,2010-02-25,,,,,,,,,,
,,,,,,,,,,,,,2016-10-06,,,,,,,,,,
,,,,,,,,,,,,,2012-03-02,,,,,,,,,,
,,,,,,,,,,,,,2011-05-23,,,,,,,,,,
,,,,,,,,,,,,,2005-11-03,,,,,,,,,,
,,,,,,,,,,,,,2011-04-27,,,,,,,,,,
,,,,,,,,,,,,,2005-05-03,,,,,,,,,,
,,,,,,,,,,,,,2004-10-20,,,,,,,,,,
,,,,,,,,,,,,,2003-10-22,,,,,,,,,,
,,,,,,,,,,,,,2004-12-17,,,,,,,,,,
,,,,,,,,,,,,,2002-10-22,,,,,,,,,,
,,,,,,,,,,,,,2002-02-06,,,,,,,,,,
,,,,,,,,,,,,,2003-02-04,,,,,,,,,,
,,,,,,,,,,,,,2001-10-17,,,,,,,,,,
,,,,,,,,,,,,,2018-12-26,,,,,,,,,,
,,,,,,,,,,,,,2013-10-15,,,,,,,,,,
,,,,,,,,,,,,,2017-10-13,,,,,,,,,,
,,,,,,,,,,,,,2008-02-07,,,,,,,,,,
,,,,,,,,,,,,,2010-09-03,,,,,,,,,,
