,sample size,R - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
4,2.0,0.0187 (67.61%),-0.0144 (70.41%),-0.1100 (62.64%),-0.2236 (5.51%),-0.1178 (3.15%),0.0137 (74.97%),-0.0273 (30.89%),-0.1371 (30.63%),-0.2375 (2.38%),-0.1289 (12.19%),0.0279 (64.70%)
Total,2.0,0.0187 (67.61%),-0.0144 (70.41%),-0.11 (62.64%),-0.2236 (5.51%),-0.1178 (3.15%),0.0137 (74.97%),-0.0273 (30.89%),-0.1371 (30.63%),-0.2375 (2.38%),-0.1289 (12.19%),0.0279 (64.7%)
