1045829,1411574,1320414,1035688,860730,1578318
2010-06-29,2016-06-08,2014-05-02,2014-05-02,2019-01-17,2015-07-30
2010-01-19,2016-11-01,,2003-10-30,2013-02-11,
2011-01-20,2016-08-02,,2003-04-29,2006-07-25,
2012-03-27,2016-03-15,,2003-07-29,2003-04-16,
2010-06-15,2016-05-03,,,2003-04-22,
2005-01-07,2016-02-16,,,,
,2015-11-04,,,,
,2015-08-04,,,,
,2015-05-11,,,,
,2015-03-10,,,,
,2014-11-12,,,,
,2014-08-13,,,,
,2014-05-13,,,,
,2014-03-14,,,,
,2013-11-14,,,,
