CIK,day -1,day 0,R,MKT,1d - MKT,vol,EA,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,IDT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
1043277,2017-05-02,2017-05-03,0.9977997296558936,0.9982996199999999,-0.0004998903441063574,0.6318904586196047,,-0.051991711539914665,-0.06356267512718417,-0.13947946337487482,-0.042097912472282895,-0.004295942892482918,Trans,-0.003300270344106515,-0.03979943127354857,-0.0852213821515978,-0.11353100963465823,-0.029671718050285678,-0.0017479604560057815
1043277,2012-10-16,2012-10-17,1.0082019074456827,1.00178481,0.006417097445682751,0.7854977504088247,,0.035255356365315516,0.025678651883004,0.035420767224252137,-0.12603232391357444,-0.14186625370186723,Trans,0.0021929174456827294,0.01346704456547898,0.017806420909972975,-0.031675323013120815,-0.22012910629034133,-0.20763886149233934
1614436,2016-04-01,2016-04-04,1.41722362225202,0.9865385400000001,0.43068508225201996,8.205060491987469,,0.40934207623439756,0.4264554896560395,0.4530403735629752,0.37404195072632973,0.29490911405829356,Trans,0.42898930225202003,0.4036949708847548,0.4691864778983582,0.5239744533285754,0.440881600939121,0.34542875109438986
1614436,2015-08-13,2015-08-14,1.0279056751306628,1.0103258,0.017579875130662836,0.9047511117575946,,-0.014716169160865489,0.06608819983941228,0.0793679628906876,0.09817403248587586,-0.041422948227768486,Trans,0.014561515130662839,-0.006794915049214478,0.05072360198833836,0.07534009518495988,0.1317751619532923,-0.0022925765337933335
737874,2004-12-03,2004-12-06,0.9723076453575744,0.9871150799999999,-0.01480743464242551,1.3592152027272066,,0.07325503331346472,0.12018853979873945,0.13308474313527952,0.15060741726189786,0.1282304303648545,Trans,-0.013135404642425685,0.07431474790033499,0.1629820250877141,0.16389118007195969,0.2137259575456868,0.17516329842065648
1090727,2019-04-24,2019-04-25,0.9084155961812057,1.00389258,-0.09547698381879433,1.9506174760217503,0.0,-0.10036117741804551,-0.11721420103378488,-0.10491314720886002,0.04695721893412763,0.010463808124500318,Trans,-0.07030355381879438,-0.07808764096122012,-0.07415418699679321,-0.04922793493592348,0.14188344851099255,0.11120860438229174
1090727,2017-05-05,2017-05-08,0.9914363011604528,0.9991002000000001,-0.007663898839547323,0.7435712951830453,,-0.03241077799507275,0.0036822267735099334,0.001370827301081956,0.0475443092915131,0.03228118618635145,Trans,-0.006521138839547191,-0.021303951593095838,-0.004695359180295844,0.03860996164739394,0.05906996632797745,0.04187853437704647
1090727,2017-02-20,2017-02-21,0.9755848045580366,0.99740165,-0.021816845441963384,1.4406040543864238,,-0.014519962764580563,-0.0009546579724276638,-0.04251384361393007,-0.0017866504854169296,0.010736996987507963,Trans,-0.019696215441963316,-0.002650717373217204,0.028393554896795514,-0.009080682687007346,-0.012685717336333946,0.060954783235499854
1090727,2016-10-26,2016-10-27,0.9916213639904605,0.99380957,-0.002188206009539506,0.9186649813596375,0.0,0.02473642765143569,0.027708370109224223,-0.014792890274456516,-0.14531204560526434,-0.1427712580589684,Trans,-0.010477636009539548,-0.03527808229841867,-0.08788600711522254,-0.13331560947146692,-0.2050698487937932,-0.21013060254265015
1090727,2016-07-28,2016-07-29,0.9933780815002791,1.00009728,-0.006719198499721024,0.9434044973334548,0.0,0.0017108040857423124,-0.004859506903280186,-0.0038470321129294716,0.026263087738167323,-0.013705638031466627,Trans,-0.0009269784997208985,0.019382952004098786,-0.01384005613611472,-0.036836204889322155,-0.10657599815064245,-0.1571062431959589
1090727,2016-04-27,2016-04-28,0.9869434585609375,0.985448,0.0014954585609374682,1.011165478816223,0.0,-0.026032988192608242,-0.02072922028601276,-0.0046621298603686245,-0.027592238677279335,-0.0195231215715177,Trans,0.012491658560937369,0.020148426863451085,0.0192872618403519,0.055219170809570395,0.03435985405047459,-0.0037181880567556114
1090727,2011-10-24,2011-10-25,0.9789755124111962,0.9896614400000001,-0.010685927588803934,0.6885793227392785,0.0,-0.008593100822474886,0.02752503356404068,0.005750799677945784,-0.01317229299210032,0.0210853819308634,Trans,-0.002599407588803948,-0.0011356511449647222,0.011434170839796254,-0.01475882818765517,0.018875130376372562,0.04139506779790936
1506307,2018-05-11,2018-05-14,0.9957601639095227,0.9949972499999999,0.0007629139095227666,0.8225937985477991,,-0.018096032350680358,0.05899524195698058,0.03681496722340971,0.01681606743043762,0.03971993439417332,Util,0.005840663909522759,-0.030425682305305513,0.029137679744196232,0.024426506244164203,0.027003060009358038,-0.019806099812340605
1506307,2017-01-23,2017-01-24,1.0207769198058958,1.0167697199999999,0.004007199805895922,1.0550819935834586,,-0.014159390962570906,-0.08119924990197658,-0.10680072836191679,-0.2259974540112749,-0.20951887070872444,Util,0.015472959805896025,-0.010113038693340681,-0.0720951678108307,-0.12127509063919839,-0.24092820526211856,-0.18830383385960936
1506307,2014-08-11,2014-08-12,0.984760007863877,1.00458413,-0.019824122136123057,0.5636893399232431,,-0.016736370626081243,-0.053336580050349136,-0.07540462635684442,-0.035780839718109414,-0.010151565633647719,Util,-0.017833272136122957,-0.009750032990595958,-0.03597222375602693,-0.13129442628626453,-0.06475589158282458,-0.07920430561744962
1492691,2018-11-14,2018-11-15,0.9451891519417682,1.0133177,-0.06812854805823176,0.762651408256372,,0.010432021701000105,-0.15704687704091003,-0.007199127204504219,-0.07395255387986632,-0.16349721849161358,Trans,-0.06497601805823161,-0.006539920512642627,-0.11353609211925375,-0.007028729309303872,-0.032072769326887296,-0.12667091068789127
1492691,2017-09-08,2017-09-11,0.9902747105942822,1.01524752,-0.024972809405717777,1.4173000486036587,,-0.030895994153124384,-0.06655540451106778,-0.03898572354171814,-0.02023292045540459,0.04427308697999699,Trans,-0.03051680940571777,-0.053663754776812844,-0.08036253461779219,-0.0671103829264077,-0.08195855617842773,0.06633324243829342
1492691,2017-05-23,2017-05-24,1.0405116769587566,1.00661008,0.03390159695875661,0.4682545146740695,,0.044864008053108195,0.11998536760514811,0.12517518013986728,0.20596999543627814,0.08243971797033112,Trans,0.019872826958756695,0.02237026856656854,0.06731069494479369,0.14240099735992284,0.19668024940200657,0.12588407323112794
1492691,2017-04-12,2017-04-13,1.0305068806593682,1.00133325,0.029173630659368177,5.650958960922497,,0.08284612040910666,0.03526022719217692,0.1010048053508581,0.15306396335765338,0.21086426363758082,Trans,0.028035150659368346,0.0692924478115553,0.0018011268972581984,0.04222230142443051,0.1540244364572283,0.184249079935062
1492691,2011-10-26,2011-10-27,1.0885058016833116,1.03529646,0.053209341683311484,1.7658812480973767,-1.0,-0.00849643697204594,0.07556787767175743,0.15826479775606273,0.153677703009383,0.036358931910317915,Trans,0.048876231683311566,-0.014349019014909148,0.05525361664063855,0.1263469463282032,0.17876690460475642,0.054647477291263735
702165,2016-04-11,2016-04-12,1.0234611584131004,1.02232177,0.0011393884131003507,1.2091149087506752,,0.14340792538268632,0.013360170814832095,0.02445924303931757,0.06929048187847808,0.14022185889880312,Trans,-0.009667841586899595,0.1307583561729886,0.05429682313433315,0.08987275777464221,0.1215699620202515,0.16219909745782113
702165,2011-05-17,2011-05-18,1.026252655616231,1.01242244,0.0138302156162311,0.8920997452434258,,0.01985868040145522,0.05965079820021724,0.07771365861257196,0.012779432087367315,0.09278155864772475,Trans,0.0006953656162311805,0.009365778601889696,0.03646696199174726,0.07699355124318297,0.04786234886824492,0.098413081833164
