,cik
10000,
10001,43350.0
10002,783739.0
10003,
10005,766822.0
10006,910627.0
10007,
10008,784955.0
10009,846753.0
10010,719073.0
10011,828828.0
10012,784770.0
10013,
10014,
10015,723576.0
10016,720032.0
10017,785541.0
10018,779338.0
10019,785546.0
10020,723648.0
10021,
10022,
10023,1745.0
10024,768841.0
10025,785787.0
10026,785956.0
10027,786160.0
10028,701719.0
10029,785929.0
10030,1866.0
10031,730052.0
10032,785786.0
10033,
10034,
10035,785931.0
10036,758953.0
10037,1199025.0
10038,777623.0
10039,782995.0
10041,783483.0
10042,739460.0
10043,310876.0
10044,1616262.0
10045,784683.0
10046,
10047,785962.0
10048,785080.0
10050,
10051,722723.0
10052,766427.0
10053,
10054,
10055,103317.0
10056,807524.0
10057,869676.0
10058,1882.0
10061,
10062,106752.0
10063,712194.0
10064,786130.0
10066,722572.0
10067,
10068,750012.0
10069,
10070,785790.0
10071,787977.0
10072,777517.0
10073,
10074,313368.0
10075,788043.0
10076,779999.0
10077,93109.0
10078,709519.0
10079,788306.0
10080,788951.0
10081,
10082,702511.0
10083,716214.0
10084,785939.0
10085,773660.0
10086,742263.0
10087,788330.0
10088,766075.0
10089,710807.0
10090,714593.0
10091,
10092,58592.0
10093,703570.0
10094,878726.0
10095,730358.0
10096,
10097,780261.0
10098,768121.0
10099,769498.0
10100,774517.0
10101,
10102,3010.0
10103,2134.0
10104,1341439.0
10105,1495766.0
10106,
10107,789019.0
10108,789388.0
10109,
10110,
10111,
10112,730078.0
10114,804888.0
10115,
10116,786947.0
10117,788341.0
10118,
10119,100331.0
10123,319120.0
10120,1230245.0
10121,
10122,
10124,779311.0
10125,760487.0
10126,351616.0
10127,789660.0
10128,718660.0
10129,
10130,36172.0
10131,
10132,
10133,789754.0
10134,922404.0
10135,
10136,789869.0
10137,3673.0
10138,1113169.0
10139,
10140,712964.0
10141,
10142,730045.0
10143,729922.0
10144,
10145,773840.0
10146,317539.0
10147,790070.0
10148,789605.0
10149,783604.0
10150,
10152,770034.0
10153,3982.0
10154,4911.0
10155,785819.0
10156,
10157,936263.0
10158,1488139.0
10159,751314.0
10160,755465.0
10161,4363.0
10162,2638.0
10163,790818.0
10164,789758.0
10165,
10166,790044.0
10167,
10168,742814.0
10169,729830.0
10170,
10171,
10172,
10173,861095.0
10174,
10175,790360.0
10176,1050260.0
10177,746425.0
10178,790706.0
10179,840068.0
10180,3116.0
10181,790812.0
10182,790703.0
10183,
10184,820600.0
10185,790406.0
10186,217222.0
10187,770506.0
10188,4368.0
10189,2668.0
10190,789990.0
10191,729519.0
10192,790372.0
10193,892072.0
10194,
10195,310433.0
10196,
10197,
10198,786767.0
10199,791048.0
10200,730272.0
10202,790813.0
10203,830751.0
10204,873537.0
10205,1143848.0
10206,31647.0
10208,770183.0
10209,
10210,
10211,813461.0
10212,748618.0
10213,790928.0
10214,
10215,
10216,721176.0
10217,4579.0
10218,319126.0
10219,790607.0
10220,1486957.0
10221,777432.0
10222,790815.0
10224,765881.0
10225,789073.0
10226,
10227,811562.0
10228,791902.0
10229,
10230,810589.0
10231,776815.0
10232,877808.0
10233,897584.0
10234,2801.0
10235,791050.0
10236,790984.0
10237,
10238,840387.0
10239,9346.0
10240,
10241,1475922.0
10242,704469.0
10243,832770.0
10244,763950.0
10245,790940.0
10246,791254.0
10247,791182.0
10248,791243.0
10249,791450.0
10250,717192.0
10251,
10252,776901.0
10253,771999.0
10254,791162.0
10255,725823.0
10256,
10257,785557.0
10258,744218.0
10259,790715.0
10260,778595.0
10261,722202.0
10262,739371.0
10263,
10264,790936.0
10265,
10266,810962.0
10267,
10268,
10269,
10270,
10271,799166.0
10272,790705.0
10273,
10274,792183.0
10276,4828.0
10277,2886.0
10278,790159.0
10281,351017.0
10279,731336.0
10280,789565.0
10282,791851.0
10283,775502.0
10284,
10285,354173.0
10286,739169.0
10287,737276.0
10288,
10289,811317.0
10290,792013.0
10291,726031.0
10292,
10293,
10294,216085.0
10295,751731.0
10296,789575.0
10297,846931.0
10298,762831.0
10299,791907.0
10300,790423.0
10301,788176.0
10302,791915.0
10303,791013.0
10304,714756.0
10305,
10306,
10307,791905.0
10308,1005817.0
10309,829282.0
10310,
10311,
10312,
10313,
10314,318580.0
10315,775476.0
10316,775714.0
10317,763392.0
10318,9326.0
10319,850496.0
10320,741443.0
10321,5496.0
10322,
10323,
10324,732485.0
10325,792570.0
10326,766823.0
10327,
10328,791925.0
10329,784259.0
10330,769122.0
10331,
10332,1356564.0
10333,791908.0
10334,748727.0
10335,
10336,789966.0
10337,
10338,
10339,799026.0
10340,
10341,812146.0
10342,109831.0
10343,792863.0
10344,791726.0
10345,792455.0
10346,792861.0
10347,705868.0
10348,
10349,
10350,771674.0
10351,792853.0
10352,792969.0
10353,709804.0
10354,779314.0
10355,783412.0
10356,
10357,
10358,792126.0
10363,792977.0
10359,805790.0
10360,829444.0
10361,793029.0
10362,786765.0
10364,7649.0
10365,355713.0
10366,793080.0
10367,
10368,
10369,
10370,1467981.0
10371,793279.0
10372,836102.0
10373,
10374,756759.0
10375,19612.0
10376,793500.0
10377,793596.0
10378,790883.0
10379,720744.0
10380,
10381,352979.0
10382,792987.0
10383,725058.0
10384,793026.0
10385,765028.0
10386,778426.0
10387,791953.0
10389,793235.0
10390,791398.0
10391,
10392,
10393,892432.0
10394,793520.0
10395,793547.0
10396,721171.0
10397,793074.0
10398,793604.0
10399,
10400,
10401,5907.0
10403,
10404,78536.0
10405,772337.0
10406,792932.0
10407,792160.0
10408,
10409,
10410,793613.0
10411,789462.0
10412,766738.0
10413,85558.0
10414,793575.0
10415,793652.0
10416,739922.0
10417,793522.0
10418,793961.0
10419,785321.0
10420,792984.0
10421,793733.0
10422,712425.0
10423,793971.0
10424,793369.0
10425,793280.0
10426,351238.0
10427,788845.0
10428,
10429,354797.0
10430,773383.0
10431,
10433,779162.0
10432,793592.0
10434,793937.0
10435,
