,cik
77546,883980.0
77605,885725.0
77606,885639.0
77644,1035881.0
77768,1707925.0
77803,857323.0
77815,888002.0
78139,859014.0
79035,895469.0
79137,897430.0
79323,899051.0
79545,908255.0
79764,1048286.0
79888,912600.0
79956,811612.0
79973,895812.0
80080,915389.0
80094,904255.0
80127,911935.0
80191,915913.0
80204,916076.0
80214,913202.0
80410,913340.0
80570,854694.0
80596,913357.0
80599,806085.0
80678,922321.0
80699,918252.0
80925,878130.0
81055,927628.0
81061,927653.0
81126,929987.0
81161,931058.0
81188,25305.0
81191,932130.0
81193,925260.0
81285,836102.0
81301,936372.0
81523,938839.0
81594,1379895.0
81655,940944.0
81671,1049533.0
81774,831259.0
81857,941548.0
81875,1507934.0
81902,945027.0
81912,859163.0
82200,944458.0
82298,949039.0
82299,29646.0
82301,945676.0
82308,949061.0
82309,732718.0
82486,922621.0
82642,1001250.0
82643,1001288.0
82647,949573.0
82751,1002579.0
82775,874766.0
82776,1001149.0
82803,780117.0
82862,1003959.0
83186,714603.0
83229,1005291.0
83324,914698.0
83332,1006240.0
83341,86312.0
83440,7974.0
83447,1045538.0
83459,1010744.0
83462,1008654.0
83583,1013220.0
83596,1007456.0
83603,1012624.0
83821,1016179.0
83941,889085.0
83977,1017799.0
83995,1018099.0
84003,1127777.0
84013,1019878.0
84020,1595262.0
84028,
84036,1020265.0
84047,898805.0
84372,70866.0
84381,1024478.0
84396,
84435,1020828.0
84644,1029786.0
84656,1034670.0
84662,846919.0
84663,1657853.0
84769,820313.0
84778,1032204.0
84817,1032330.0
84836,1037388.0
85032,1037949.0
85073,1035713.0
85232,1037461.0
85239,1039300.0
85240,1389050.0
85257,1037868.0
85269,1035002.0
85343,923687.0
85344,923687.0
85348,1041061.0
85380,798757.0
85456,1041891.0
85459,1043277.0
85588,1036261.0
85599,20388.0
85610,1047378.0
85613,1027881.0
85620,1026816.0
85621,1037646.0
85645,1046257.0
85654,
85658,1047122.0
85661,1042801.0
85753,1014473.0
85767,1046128.0
85769,1018848.0
85875,315709.0
85876,945734.0
85913,1048286.0
85926,1012100.0
85929,905036.0
85931,1052100.0
85956,
85991,794323.0
86018,46738.0
86021,1039101.0
86041,1030048.0
86102,1056288.0
86136,1032208.0
86228,1060391.0
86281,711039.0
86305,1062047.0
86356,1065088.0
86368,1066806.0
86380,1052100.0
86401,1068002.0
86411,1069822.0
86414,
86445,1070518.0
86447,1070794.0
86448,1068044.0
86580,1045810.0
86591,1521332.0
86602,894253.0
86721,1326583.0
86746,1507934.0
86747,
86756,1076405.0
86799,1070412.0
86809,1079577.0
86820,1490906.0
86868,886982.0
86881,1009626.0
86927,
86946,1275283.0
86950,1085095.0
86979,1043604.0
87029,1066806.0
87031,318771.0
87049,1394069.0
87070,921847.0
87092,1085280.0
87137,1090012.0
87146,1035675.0
87182,1088033.0
87184,1087423.0
87229,1090071.0
87281,1644147.0
87284,1068144.0
87292,1089976.0
87423,1113948.0
87427,1094371.0
87432,1090872.0
87447,1090727.0
87536,736260.0
87541,75677.0
87612,1096325.0
87657,1099800.0
87659,1096752.0
87660,1097313.0
87812,1038074.0
87842,1099219.0
88275,874689.0
88281,1100682.0
88313,
88364,
88388,732718.0
88424,1109808.0
88441,1113099.0
88587,1116521.0
88590,1799208.0
88601,1010775.0
88661,1116132.0
88668,1110783.0
88682,889005.0
88845,1122304.0
88853,1124198.0
88917,1129446.0
88972,1035688.0
