1370880,1383312,1610950,1006240,1336920,70866,1223862
2016-01-20,2017-12-06,2017-05-11,2006-07-27,2013-09-11,2018-11-07,2013-02-21
,2014-11-19,2017-05-10,,,,
,2014-12-11,,,,,
,2014-09-17,,,,,
,2014-05-14,,,,,
,2014-02-18,,,,,
,2013-11-13,,,,,
,2013-09-13,,,,,
,2013-05-08,,,,,
,2013-03-12,,,,,
,2013-02-13,,,,,
,2014-12-16,,,,,
,2012-12-03,,,,,
,2012-09-18,,,,,
,2012-03-06,,,,,
,2011-11-09,,,,,
,2011-12-07,,,,,
,2011-09-20,,,,,
,2011-06-22,,,,,
