732712,789019,1043533,1437107,1136893,859014,1428336,1131096,101830,1490660,1533932,1677703,816761,1087423,1619954,1108524,1065088,1014473,732717,1099590,1576169
2019-02-21,2009-03-13,2011-05-05,2019-11-07,2019-03-18,2011-07-26,2018-12-04,2013-12-12,2013-08-06,2013-07-30,2019-03-18,2019-02-20,2017-07-27,2019-07-09,2015-08-05,2018-09-26,2015-07-16,2005-01-26,2018-03-12,2019-08-07,2018-12-18
2019-08-08,2008-10-23,,,,,,,,,2017-08-10,,2017-02-09,2012-05-24,,,2015-04-22,,,2019-10-31,2014-03-10
2016-07-26,2008-08-01,,,,,,,,,,,2014-08-07,,,,2015-01-21,,,2018-02-22,
2019-08-08,2013-11-26,,,,,,,,,,,,,,,,,,,
2018-05-01,2015-10-27,,,,,,,,,,,,,,,,,,,
