,sample size,R - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
0,4.0,-0.0156 (59.53%),-0.0062 (73.85%),-0.0088 (80.29%),0.0344 (31.05%),0.0038 (90.19%),0.0614 (15.00%),0.0038 (40.74%),-0.0017 (84.46%),-0.0159 (21.13%),-0.0212 (0.05%),-0.0162 (11.28%)
1,114.0,-0.0008 (85.59%),-0.0018 (84.35%),-0.0408 (0.24%),-0.0722 (0.02%),-0.1018 (0.01%),-0.1350 (0.00%),0.0039 (63.51%),-0.0091 (43.96%),-0.0256 (11.06%),-0.0377 (6.98%),-0.0483 (4.52%)
2,150.0,-0.0018 (54.10%),-0.0061 (23.56%),-0.0119 (13.69%),-0.0134 (22.86%),-0.0353 (1.10%),-0.0369 (1.65%),-0.0041 (35.86%),-0.0089 (22.77%),-0.0093 (35.41%),-0.0261 (4.51%),-0.0220 (11.38%)
3,1.0,-0.1552 (nan%),-0.1924 (nan%),-0.2078 (nan%),-0.2916 (nan%),-0.3209 (nan%),-0.3159 (nan%),-0.1561 (nan%),-0.2342 (nan%),-0.3325 (nan%),-0.3803 (nan%),-0.3882 (nan%)
4,192.0,0.0050 (15.05%),-0.0027 (61.78%),-0.0114 (14.06%),-0.0214 (2.57%),-0.0327 (0.84%),-0.0436 (0.29%),-0.0023 (65.46%),-0.0088 (22.95%),-0.0215 (2.67%),-0.0283 (2.12%),-0.0349 (1.83%)
5,34.0,-0.0002 (96.67%),-0.0081 (29.74%),-0.0079 (64.73%),-0.0102 (69.19%),-0.0028 (93.28%),-0.0106 (79.79%),-0.0057 (47.02%),0.0036 (82.65%),0.0161 (50.90%),0.0257 (43.24%),0.0277 (49.71%)
6,39.0,0.0007 (95.40%),-0.0043 (80.19%),0.0177 (56.75%),0.0230 (61.27%),0.0417 (42.09%),0.0342 (51.04%),-0.0036 (83.14%),0.0171 (58.49%),0.0164 (71.75%),0.0401 (45.93%),0.0358 (50.79%)
7,134.0,0.0026 (44.57%),0.0036 (51.67%),-0.0098 (19.18%),-0.0192 (6.06%),-0.0285 (3.56%),-0.0390 (1.11%),0.0040 (42.37%),-0.0094 (15.15%),-0.0116 (20.23%),-0.0196 (9.65%),-0.0193 (13.35%)
8,45.0,0.0088 (49.50%),0.0225 (17.19%),0.0214 (31.94%),0.0034 (90.55%),-0.0185 (59.34%),-0.0212 (49.44%),0.0228 (15.38%),0.0124 (55.70%),-0.0092 (74.01%),-0.0307 (36.48%),-0.0354 (24.02%)
9,56.0,0.0000 (98.83%),0.0060 (34.20%),0.0012 (89.86%),0.0048 (74.93%),0.0114 (48.05%),0.0136 (45.71%),0.0050 (48.11%),-0.0021 (83.29%),0.0034 (80.92%),0.0075 (65.80%),0.0005 (97.96%)
10,8.0,0.0200 (0.38%),0.0116 (66.69%),0.0956 (22.72%),0.1046 (48.35%),0.0211 (93.33%),-0.1216 (49.00%),0.0122 (62.54%),0.0863 (25.57%),0.0868 (54.41%),0.0279 (90.81%),-0.1090 (52.91%)
11,10.0,-0.0016 (63.96%),-0.0064 (52.82%),-0.0055 (84.90%),-0.0134 (73.06%),0.0165 (71.25%),-0.0001 (99.82%),-0.0047 (66.26%),-0.0124 (65.90%),-0.0292 (46.68%),-0.0137 (77.22%),-0.0326 (47.00%)
13,12.0,-0.0146 (17.46%),-0.0078 (56.50%),0.0200 (40.15%),0.0613 (2.96%),0.0400 (0.41%),0.0437 (22.65%),-0.0092 (51.83%),0.0189 (48.47%),0.0649 (2.89%),0.0406 (0.35%),0.0218 (43.67%)
15,4.0,0.0259 (42.38%),0.0490 (6.50%),0.0553 (19.21%),-0.1320 (15.95%),-0.0908 (42.02%),-0.1571 (5.62%),0.0425 (8.10%),0.0492 (9.85%),-0.0522 (11.45%),-0.0151 (80.44%),-0.0498 (31.03%)
16,17.0,0.0099 (12.39%),-0.0066 (69.08%),-0.0189 (18.40%),-0.0249 (40.35%),-0.0617 (10.21%),-0.0693 (13.69%),-0.0059 (72.14%),-0.0360 (11.85%),-0.0738 (7.22%),-0.1192 (2.32%),-0.1576 (1.15%)
17,55.0,-0.0061 (46.00%),-0.0209 (13.52%),-0.0304 (21.12%),-0.0470 (4.18%),-0.0420 (13.48%),-0.0833 (1.53%),-0.0181 (22.00%),-0.0366 (15.11%),-0.0615 (1.71%),-0.0540 (7.17%),-0.0916 (1.49%)
Total,875.0,0.0012 (45.82%),-0.0018 (48.61%),-0.0109 (0.66%),-0.0208 (0.01%),-0.033 (0.0%),-0.0465 (0.0%),-0.0003 (91.26%),-0.0068 (7.6%),-0.015 (0.37%),-0.0226 (0.06%),-0.0304 (0.0%)
