1045829,1578318,1411574,1437578,860730,1035688,1320414
2011-11-15,2016-06-16,2015-03-17,2013-04-11,2019-01-17,2019-08-01,2019-08-01
2008-05-12,2016-06-16,,2013-02-04,2010-11-24,2019-08-01,2019-08-01
2006-02-08,2014-06-10,,,2003-02-05,2018-10-31,2018-10-31
,2014-06-02,,,,2018-03-23,2018-03-23
,,,,,2018-02-02,2018-02-02
,,,,,2017-10-23,2017-10-23
,,,,,2017-03-07,2017-03-07
,,,,,2016-09-28,2016-09-28
,,,,,2013-03-15,2013-03-15
,,,,,2011-06-02,2011-06-02
