conml,weburl
Nexeo Solutions Inc,www.nexeosolutions.com
Opus Bank,www.opusbank.com
Ares Management Corp,www.aresmgmt.com
Kite Pharma Inc,www.kitepharma.com
Synchrony Financial,www.synchrony.com
Liberty TripAdvisor Holdings Inc,www.libertytripadvisorholdings.com
TerraForm Power Inc,www.terraformpower.com
Arista Networks Inc,www.arista.com
HealthEquity Inc,www.healthequity.com
Reader's Digest Assn Inc,www.tmbi.com
Cannae Holdings Inc,www.cannaeholdings.com
Sage Therapeutics Inc,www.sagerx.com
Diplomat Pharmacy Inc,www.diplomatpharmacy.com
Liberty Broadband Corp,www.libertybroadband.com
Zayo Group Holdings Inc,www.zayo.com
Avanos Medical Inc,avanos.com
Univar Solutions Inc,www.univar.com
Kemper Corp,www.kemper.com
Citizens Financial Group Inc,www.citizensbank.com
Great Western Bancorp Inc,www.greatwesternbank.com
PRA Health Sciences Inc,prahs.com
CDK Global Inc,www.cdkglobal.com
VWR Corp,www.vwr.com
Mammoth Energy Services Inc,www.mammothenergy.com
Syneos Health Inc,www.syneoshealth.com
Metaldyne Performance Group Inc,www.mpgdriven.com
HubSpot Inc,www.hubspot.com
FibroGen Inc,www.fibrogen.com
Nevro Corp,www.nevro.com
New Relic Inc,www.newrelic.com
International Bancshares Corp,www.ibc.com
Juno Therapeutics Inc,www.junotherapeutics.com
Par Pacific Holdings Inc,www.parpacific.com
HCA Healthcare Inc,www.hcahealthcare.com
KLX Inc,www.boeingdistribution.com
GMS Inc,www.gms.com
Summit Materials Inc,summit-materials.com
Shake Shack Inc,www.shakeshack.com
Vista Outdoor Inc,vistaoutdoor.com
Chemours Co (The),www.chemours.com
Inovalon Holdings Inc,www.inovalon.com
Spark Therapeutics Inc,www.sparktx.com
GoDaddy Inc,www.godaddy.com
Energizer Holdings Inc,www.energizerholdings.com
SolarEdge Technologies Inc,www.solaredge.com
TopBuild Corp,www.topbuild.com
Cable One Inc,www.cableone.biz
Lumentum Holdings Inc,www.lumentum.com
Tallgrass Energy GP LP,www.tallgrassenergylp.com
Etsy Inc,www.etsy.com
Virtu Financial Inc,www.virtu.com
Milacron Holdings Corp,www.milacron.com
Gannett Co Inc -Old,www.gannett.com
Wingstop Inc,www.wingstop.com
Fitbit Inc,www.fitbit.com
AutoZone Inc,www.autozone.com
Glaukos Corp,www.glaukos.com
United States Steel Corp,www.ussteel.com
AES Corp (The),www.aes.com
Ollie's Bargain Outlet Holdings Inc,www.ollies.us
Alarm.com Holdings Inc,www.alarm.com
Ambac Financial Group Inc,www.ambac.com
Blue Buffalo Pet Products Inc,www.bluebuffalo.com
Madison Square Garden Sports Corp,www.msgsports.com
TransUnion,www.transunion.com
SPX FLOW Inc,www.spxflow.com
PayPal Holdings Inc,www.paypal.com
Sunrun Inc,www.sunrun.com
Planet Fitness Inc,www.planetfitness.com
ADESA Inc.,www.adesa.com
Linde Plc,www.linde.com
SiteOne Landscape Supply Inc,www.siteone.com
First Data Corp.,www.firstdata.com
Boston Scientific Corp,www.bostonscientific.com
Kohl's Corp,www.Kohls.com
Compuware Corp,www.compuware.com
At Home Group Inc,www.athome.com
Penumbra Inc,www.penumbrainc.com
Hewlett Packard Enterprise Co,www.hpe.com
CSRA Inc,www.csra.com
Red Rock Resorts Inc,www.redrockresorts.com
Fortive Corp,www.fortive.com
Welbilt Inc,www.welbilt.com
Versum Materials Inc,www.versummaterials.com
GCP Applied Technologies Inc,www.gcpat.com
Avangrid Inc,www.avangrid.com
Acacia Communications Inc,acacia-inc.com
Liberty Expedia Holdings Inc,www.libertyexpedia.com
Atkore International Group Inc,www.atkore.com
Ingevity Corp,www.ingevity.com
Hilton Grand Vacations Inc,www.hiltongrandvacations.com
Formula One Group - The Liberty Media Group,www.libertymedia.com
Cotiviti Holdings Inc,www.cotiviti.com
Park Hotels & Resorts Inc,www.pkhotelsandresorts.com
Acushnet Holdings Corp,www.acushnetholdingscorp.com
Valvoline Inc,www.valvoline.com
JELD-WEN Holding Inc,www.jeld-wen.com
Alcoa Corp,www.alcoa.com
Coupa Software Inc,www.coupa.com
First Hawaiian Inc,www.fhb.com
Extraction Oil & Gas Inc,www.extractionog.com
Allstate Corp (The),www.allstate.com
CDW Corp,www.cdw.com
BorgWarner Inc,www.borgwarner.com
iRhythm Technologies Inc,www.iRhythmTech.com
BlackLine Inc,www.blackline.com
Yum China Holdings Inc,www.yumchina.com
Conduent Inc,www.conduent.com
Varex Imaging Corp,www.vareximaging.com
Performance Food Group Co,www.pfgc.com
