,gvkey,fyear,mkvalt
7248,115404,2005.0,2354.6549
7249,115404,2008.0,1060.3825
7250,115404,2008.0,1060.3825
7251,115404,2006.0,2005.0737
7252,115404,2006.0,2005.0737
7253,115404,2007.0,2439.0144
7254,115404,2007.0,2439.0144
7255,115404,2009.0,1960.95
7256,115404,2009.0,1960.95
7257,115404,2002.0,2568.4713
7258,115404,2012.0,702.8464
7259,115404,2012.0,702.8464
7260,115404,2010.0,3059.311
7261,115404,2010.0,3059.311
7262,115404,2011.0,2092.4738
7263,115404,2011.0,2092.4738
7264,115404,2013.0,1546.7015
7265,115404,2013.0,1546.7015
7266,115404,2003.0,2770.4933
7267,115404,2016.0,1821.1522
7268,115404,2016.0,1821.1522
7269,115404,2014.0,1437.7612
7270,115404,2014.0,1437.7612
7271,115404,2015.0,1778.2611
7272,115404,2015.0,1778.2611
7273,115404,2003.0,2770.4933
7274,115872,2001.0,20201.274
7275,115872,2001.0,20201.274
7276,115872,2003.0,25900.1581
7277,115872,2003.0,25900.1581
7278,115872,2004.0,26018.0553
7279,115872,2000.0,21993.3225
7280,115872,2000.0,21993.3225
7281,115872,2004.0,26018.0553
7282,115872,2002.0,18486.108
7283,115873,1999.0,1377.65
7284,115872,2002.0,18486.108
7285,115873,2000.0,2284.0125
7286,115873,1999.0,1377.65
7287,115873,1999.0,1377.65
7288,115873,2000.0,2284.0125
7289,115873,2000.0,2284.0125
7290,116104,2010.0,2774.9722
7291,116104,2008.0,625.3
7292,116104,2008.0,625.3
7293,116104,2009.0,2500.7746
7294,116104,2009.0,2500.7746
7295,115873,2001.0,1663.1973
7296,115873,2001.0,1663.1973
7297,115873,2001.0,1663.1973
7298,116104,2006.0,2175.4404
7299,116104,2006.0,2175.4404
7300,116104,2007.0,2805.9728
7301,116104,2007.0,2805.9728
7302,116104,2010.0,2774.9722
7303,116245,1999.0,51075.75
7304,116245,1999.0,51075.75
7305,116245,2000.0,19951.0875
7306,116245,2000.0,19951.0875
7307,116245,1998.0,9615.375
7308,116245,1998.0,9615.375
7309,116245,2001.0,24611.3825
7310,116245,2001.0,24611.3825
7311,116609,1999.0,38831.8292
7312,116245,2002.0,4473.513
7313,116245,2003.0,5818.948
7314,116245,2003.0,5818.948
7315,116609,1998.0,23412.4688
7316,116609,1998.0,23412.4688
7317,116609,1999.0,38831.8292
7318,116857,2001.0,2762.921
7319,116857,2003.0,3290.154
7320,116857,2003.0,3290.154
7321,116857,1998.0,1931.625
7322,116857,1999.0,3800.0
7323,116857,2000.0,3552.6
7324,116857,2000.0,3552.6
7325,116857,2004.0,6319.932
7326,116857,2004.0,6319.932
7327,116857,2001.0,2762.921
7328,116857,2002.0,2525.04
7329,116857,2002.0,2525.04
7330,117768,1998.0,546.117
7331,117768,2001.0,9831.6142
7332,117768,2001.0,9831.6142
7333,117768,2003.0,3652.2485
7334,117768,2003.0,3652.2485
7335,117768,2002.0,1628.3928
7336,117768,2002.0,1628.3928
7337,117768,2004.0,3829.7028
7338,117768,2004.0,3829.7028
7339,117768,1999.0,1152.6438
7340,117768,2007.0,13699.1382
7341,117768,2007.0,13699.1382
7342,117768,2005.0,7709.6059
7343,117768,2005.0,7709.6059
7344,117768,2006.0,11064.3129
7345,117768,2006.0,11064.3129
7346,117768,2008.0,4280.765
7347,117768,2008.0,4280.765
7348,117768,2000.0,3534.041
7349,117768,2011.0,9042.0611
7350,117768,2011.0,9042.0611
7351,117768,2012.0,7561.4286
7352,117768,2009.0,8640.9617
7353,117768,2009.0,8640.9617
7354,117768,2010.0,14078.2595
7355,117768,2010.0,14078.2595
7356,117768,2012.0,7561.4286
7357,117768,2015.0,15787.31
7358,117768,2013.0,8917.5529
7359,117768,2015.0,15787.31
7360,117768,2013.0,8917.5529
7361,117768,2016.0,63870.3
7362,117768,2014.0,10465.0542
7363,117768,2016.0,63870.3
7364,117768,2014.0,10465.0542
7365,118003,2003.0,1513.8579
7366,118003,1999.0,1747.9005
7367,118003,1999.0,1747.9005
7368,118003,2000.0,894.4123
7369,118003,2000.0,894.4123
7370,118003,2005.0,1665.692
7371,118003,2005.0,1665.692
7372,117768,2017.0,148954.8
7373,117768,2017.0,148954.8
7374,117768,2018.0,87112.5
7375,117768,2018.0,87112.5
7376,118003,2001.0,2080.165
7377,118003,2001.0,2080.165
7378,118003,2002.0,1164.8781
7379,118003,2002.0,1164.8781
7380,118003,2007.0,1624.914
7381,118003,2007.0,1624.914
7382,118003,2008.0,1632.5944
7383,118003,2008.0,1632.5944
7384,118003,2006.0,1983.9439
7385,118003,2006.0,1983.9439
7386,118003,2003.0,1513.8579
7387,118003,2004.0,1879.8862
7388,118003,2004.0,1879.8862
7389,118122,2006.0,2146.076
7390,118122,1999.0,8851.5
7391,118122,2000.0,6297.75
7392,118122,2000.0,6297.75
7393,118122,2001.0,7652.332
7394,118122,2004.0,5062.024
7395,118122,2005.0,163.4838
7396,118122,2005.0,163.4838
7397,118122,2011.0,7070.3973
7398,118122,2002.0,4492.697
7399,118122,2002.0,4492.697
7400,118122,2003.0,5720.663
7401,118122,2008.0,15.2444
7402,118122,2006.0,2146.076
7403,118122,2012.0,12060.1868
7404,118122,2013.0,18423.1706
7405,118122,2014.0,21206.5337
7406,118122,2014.0,21206.5337
7407,118122,2015.0,23850.7718
7408,118122,2015.0,23850.7718
7409,118122,2013.0,18423.1706
7410,118122,2016.0,18170.3565
7411,118122,2016.0,18170.3565
7412,118122,2018.0,16007.6459
7413,118122,2018.0,16007.6459
7414,118122,2017.0,22551.2072
7415,118122,2017.0,22551.2072
7416,118122,2007.0,81.6512
7417,118122,2007.0,81.6512
7418,119414,2002.0,1629.9345
7419,120178,1999.0,13705.4053
7420,119414,2002.0,1629.9345
7421,119414,2003.0,2148.6868
7422,119414,2004.0,2381.0304
7423,119414,2003.0,2148.6868
7424,119414,1999.0,912.2603
7425,119414,1999.0,912.2603
7426,119414,2000.0,1194.5993
7427,119414,2001.0,1536.616
7428,119414,2000.0,1194.5993
7429,119414,2001.0,1536.616
7430,119414,2006.0,2632.5779
7431,119414,2004.0,2381.0304
7432,119414,2005.0,2542.1011
7433,119414,2005.0,2542.1011
7434,119414,2006.0,2632.5779
7435,119414,2016.0,1877.5993
7436,119414,2008.0,3283.9664
7437,119414,2007.0,2539.6578
7438,119414,2009.0,2412.7726
7439,119414,2009.0,2412.7726
7440,119414,2010.0,1812.6589
7441,119417,2000.0,5772.8125
7442,119414,2010.0,1812.6589
7443,119414,2011.0,1710.023
7444,119414,2011.0,1710.023
7445,119414,2012.0,1798.3893
7446,119414,2012.0,1798.3893
7447,119414,2014.0,1615.2739
7448,119414,2013.0,1782.2134
7449,119414,2015.0,1609.6572
7450,119414,2007.0,2539.6578
7451,119414,2015.0,1609.6572
7452,119414,2016.0,1877.5993
7453,119414,2013.0,1782.2134
7454,119414,2014.0,1615.2739
7455,119414,2008.0,3283.9664
7456,119414,2017.0,1975.2096
7457,119414,2018.0,1752.2341
7458,119414,2018.0,1752.2341
7459,119417,1999.0,2484.375
7460,119417,1999.0,2484.375
7461,119417,2000.0,5772.8125
7462,119414,2017.0,1975.2096
7463,119417,2001.0,6603.5
7464,119417,2001.0,6603.5
7465,119417,2003.0,6310.98
7466,119417,2003.0,6310.98
7467,119417,2004.0,6732.96
7468,119417,2004.0,6732.96
7469,119417,2002.0,7196.0
7470,119417,2002.0,7196.0
7471,119417,2007.0,8839.04
7472,119417,2005.0,6837.79
7473,119417,2005.0,6837.79
7474,119417,2009.0,8287.5
7475,119417,2009.0,8287.5
7476,119417,2006.0,7109.3
7477,119417,2006.0,7109.3
7478,119417,2007.0,8839.04
7479,119417,2008.0,4749.61
7480,119417,2008.0,4749.61
7481,119756,2002.0,1425.6873
7482,119756,2000.0,1507.2288
7483,119756,2001.0,1407.2468
7484,119756,2001.0,1407.2468
7485,119756,2001.0,1407.2468
7486,119756,2005.0,2732.9144
7487,119756,2005.0,2732.9144
7488,119756,1999.0,823.7824
7489,119756,1999.0,823.7824
7490,119756,2000.0,1507.2288
7491,119756,2004.0,2346.7125
7492,119756,2004.0,2346.7125
7493,119756,2008.0,2046.2705
7494,119756,2002.0,1425.6873
7495,119756,2008.0,2046.2705
7496,119756,2008.0,2046.2705
7497,119756,2009.0,1910.7549
7498,119756,2009.0,1910.7549
7499,119756,2009.0,1910.7549
7500,119756,2010.0,2083.6173
7501,119756,2002.0,1425.6873
7502,119756,2010.0,2083.6173
7503,119756,2010.0,2083.6173
7504,120093,2000.0,1188.4923
7505,119756,2015.0,4840.5833
7506,119756,2015.0,4840.5833
7507,120093,1999.0,963.216
7508,119756,2015.0,4840.5833
