CIK,day -1,day 0,R,MKT,R - MKT,vol,EA,1d - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,IDT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
1487712,2019-02-21,2019-02-22,1.0195714847101864,1.00800975,0.0115617347101864,1.1450958527264135,-1.0,0.0115617347101864,-0.04993131525896877,-0.06234343233362971,-0.031456574439088,0.026979232096737915,-0.004416551749988118,BusSv,0.008172634710186255,-0.05637048147965196,-0.08655300441524327,-0.08000922390925735,-0.05104938805421244,-0.09822366301502439
1487712,2016-02-26,2016-02-29,1.0397124885696187,1.01633854,0.02337394856961872,1.6661288760369328,,0.02337394856961872,0.039173098780533655,-0.0016468706357481988,-0.050578153599310394,-0.20193098732854098,-0.18454172691557147,BusSv,0.021154588569618715,0.04780188655532869,-0.0047854703102758744,-0.08502225329044011,-0.23146103871199342,-0.2077175418791274
1487712,2018-05-02,2018-05-03,1.0334128319856244,1.0104674999999999,0.02294533198562454,0.8923793475377793,,0.02294533198562454,0.026949915920804868,-0.012372891004747366,-0.030683002255982528,-0.02537151776538593,-0.08647612009801064,BusSv,0.01806031198562419,0.013955736708972877,-0.058044043413056245,-0.06022330217447469,-0.10263213278373318,-0.1418731006196936
1487712,2011-11-21,2011-11-22,1.011520736922137,0.97280076,0.03871997692213702,3.6630234833659494,,0.03871997692213702,0.0231262826784846,0.0013304638969577898,0.020264213353478278,-0.09114416741119369,-0.08639765429111823,BusSv,0.0435177769221371,0.025643710349701143,-0.0003531813249497695,0.020372437572856006,-0.09168568720003978,-0.0938823352532614
1487712,2016-05-31,2016-06-01,0.9806988373234069,1.0055070000000002,-0.02480816267659325,0.7326957868075008,,-0.02480816267659325,-0.07412517864096202,-0.06618371034413684,-0.09579115906789437,-0.05883332745786807,0.09232819568440997,BusSv,-0.028319162676593068,-0.06805488607857058,-0.07388606765360495,-0.08818205405157387,-0.05296187488062998,0.09693420362616889
1487712,2013-05-10,2013-05-13,0.9456666946411133,1.0107978,-0.06513110535888667,2.5707745590312894,,-0.06513110535888667,-0.05558307684518482,-0.08716163514612496,-0.13879920015941283,-0.14146192935742952,-0.12048743318659627,BusSv,-0.06218884535888669,-0.057410605578761764,-0.09217228708623593,-0.1685887076949798,-0.1822779652054738,-0.17317119762832556
1487712,2012-05-04,2012-05-07,1.0206896347608345,0.9962983599999999,0.02439127476083458,1.1432217631126311,,0.02439127476083458,-0.06363421835930105,-0.1125691297284892,-0.15874204597485952,-0.1065363010561865,-0.15786996238157114,BusSv,0.027285504760834578,-0.07027302109143052,-0.11495848211555726,-0.14497140305141099,-0.09045640573213276,-0.1351497138802924
1308547,2011-06-27,2011-06-28,1.0021510552643327,1.02140472,-0.019253664735667364,0.7516457229939042,,-0.019253664735667364,-0.03780779754733454,-0.11043989737522852,-0.213222129259514,-0.2532491922088952,-0.19918463832940225,Fin,-0.02414999473566737,-0.011552940193929828,-0.06160467392971314,-0.1055693855919293,-0.13963816959570974,-0.04536898307047099
1398987,2019-05-01,2019-05-02,0.704042699004595,1.00968192,-0.30563922099540497,3.111319583345973,0.0,-0.30563922099540497,-0.3665799255765023,-0.4499224942180645,-0.650581231358796,-0.5529978485389694,-0.3584037612429296,RlEst,-0.2904834209954049,-0.3021619647385404,-0.3900600716942413,-0.6075979947250871,-0.5640007611005494,-0.34570565356473915
1398987,2017-03-16,2017-03-17,1.0420560779701113,0.996702,0.04535407797011137,0.5633933244481242,,0.04535407797011137,0.07773910596397904,0.10406471626443436,0.05038212504426376,0.1559153884027773,0.15067235111133837,RlEst,0.04400629797011135,0.06693747752484658,0.04217657583700585,-0.0024537867238165756,0.06851688847802384,0.10863583171621927
1398987,2018-11-05,2018-11-06,1.0395170827572628,1.02702238,0.012494702757262832,1.5691591547110597,,0.012494702757262832,0.015890036525921802,-0.04700998323991579,-0.019015387589364163,-0.40893260837280376,-0.5055261811287382,RlEst,0.011728892757262743,0.0023735342012141114,-0.03759163381065833,-0.06536073826136413,-0.43083100065941626,-0.5215561677699874
1398987,2017-10-20,2017-10-23,0.9850928542837799,0.997491,-0.01239814571622011,1.102579956335605,,-0.01239814571622011,-0.1833114866374549,-0.18868370275666468,-0.28524131582166634,-0.29673142114305995,-0.25894047809046683,RlEst,-0.006402645716220068,-0.17783965684050596,-0.20841005308346483,-0.2761450091983627,-0.3076451408991753,-0.2955078979610223
1398987,2013-04-08,2013-04-09,0.965750443071594,1.01593968,-0.050189236928406045,3.8456746661164627,,-0.050189236928406045,0.02552699320111107,0.12454791312984503,0.056400294499680426,-0.16932483372343465,-0.17861413484049404,RlEst,-0.05006296692840584,0.042807446126728155,0.19045449219953525,0.14570016240053973,0.005158900114295539,-0.0075047636811490515
1398987,2016-07-21,2016-07-22,1.0189171535092183,1.00208704,0.01683011350921837,1.0301196331819988,,0.01683011350921837,-0.1276010740519229,-0.14854732356739442,-0.2007053583956443,-0.24922342901011207,-0.22393073098343108,RlEst,0.00709603350921828,-0.10906988016607377,-0.14260150517770742,-0.12856932726911396,-0.18658695506947998,-0.16661005220561953
1398987,2018-02-08,2018-02-09,1.021207196087101,1.02738496,-0.006177763912899037,1.4037005949891113,,-0.006177763912899037,-0.06853775693131103,0.051429143202940564,0.01655424274013817,-0.13324100028561947,-0.1702563537014674,RlEst,0.00104159608710086,-0.055934699953172906,0.006767326978798449,-0.006624093918906171,-0.11269691458073461,-0.1298261218513288
