,sample size,1d - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,1d - IDT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
0,3.0,-0.0220 (9.14%),0.0014 (93.47%),-0.0583 (40.48%),-0.0961 (32.79%),-0.1068 (4.49%),-0.1575 (0.80%),-0.0236 (32.71%),-0.0003 (97.63%),-0.0639 (21.62%),-0.1338 (20.93%),-0.0918 (15.81%),-0.1292 (22.64%)
1,52.0,-0.0026 (66.33%),-0.0158 (13.65%),-0.0210 (28.11%),-0.0569 (2.41%),-0.0669 (1.76%),-0.1223 (0.04%),-0.0033 (54.80%),-0.0097 (28.31%),-0.0123 (45.54%),-0.0350 (4.20%),-0.0346 (6.90%),-0.0689 (0.65%)
2,64.0,-0.0018 (38.41%),-0.0027 (54.32%),-0.0074 (33.91%),0.0022 (83.19%),-0.0152 (24.10%),-0.0092 (56.30%),0.0009 (65.82%),0.0017 (69.78%),0.0024 (75.69%),0.0196 (10.78%),0.0080 (56.88%),0.0123 (45.22%)
3,9.0,0.0078 (23.74%),0.0056 (64.43%),0.0228 (34.97%),-0.0209 (47.28%),-0.0646 (12.43%),-0.0332 (60.38%),0.0099 (12.06%),0.0064 (60.33%),0.0441 (5.24%),0.0286 (11.08%),-0.0212 (53.94%),0.0007 (99.01%)
4,316.0,0.0008 (60.54%),0.0026 (49.03%),0.0026 (61.09%),0.0032 (66.82%),0.0048 (58.45%),0.0165 (13.38%),0.0014 (35.77%),0.0015 (66.58%),-0.0005 (91.25%),-0.0020 (78.20%),-0.0004 (96.17%),0.0132 (19.54%)
5,13.0,0.0090 (11.34%),-0.0017 (86.52%),-0.0197 (38.48%),-0.0518 (19.22%),-0.0620 (10.75%),-0.0823 (14.03%),0.0091 (12.87%),-0.0041 (68.21%),-0.0253 (29.78%),-0.0580 (17.44%),-0.0698 (10.15%),-0.0935 (10.81%)
6,22.0,-0.0076 (30.15%),0.0081 (58.94%),0.0024 (90.52%),0.0130 (58.45%),0.0121 (69.81%),0.0529 (17.47%),-0.0085 (26.11%),0.0067 (64.25%),-0.0005 (98.08%),0.0022 (91.27%),-0.0143 (61.95%),0.0199 (58.34%)
7,10.0,0.0054 (66.63%),-0.0041 (79.68%),-0.0015 (95.12%),-0.0129 (66.31%),-0.0195 (52.97%),0.0600 (39.43%),0.0040 (75.12%),-0.0062 (63.88%),-0.0035 (87.46%),-0.0275 (33.76%),-0.0412 (22.51%),0.0283 (67.45%)
8,106.0,-0.0002 (95.00%),0.0065 (21.21%),-0.0009 (93.61%),0.0273 (14.00%),0.0222 (30.58%),0.0189 (42.71%),-0.0007 (81.27%),0.0038 (44.36%),-0.0069 (51.65%),0.0197 (27.43%),0.0124 (55.41%),0.0131 (57.55%)
9,97.0,0.0027 (17.31%),0.0060 (20.63%),-0.0021 (77.75%),0.0005 (97.94%),-0.0225 (17.81%),-0.0335 (6.73%),0.0027 (16.20%),0.0071 (11.53%),0.0022 (74.34%),0.0120 (51.03%),-0.0071 (65.42%),-0.0221 (21.46%)
10,18.0,0.0016 (80.65%),0.0229 (4.29%),0.0217 (23.27%),0.0387 (24.23%),0.0280 (55.90%),0.0056 (90.86%),-0.0009 (82.25%),0.0149 (4.07%),0.0117 (31.53%),0.0213 (27.01%),0.0160 (54.02%),-0.0003 (99.23%)
11,26.0,0.0071 (14.21%),0.0008 (92.99%),-0.0064 (61.95%),-0.0153 (46.33%),-0.0289 (16.84%),-0.0260 (31.57%),0.0079 (11.11%),0.0002 (97.78%),-0.0039 (76.35%),-0.0127 (56.58%),-0.0294 (19.44%),-0.0275 (31.79%)
13,12.0,0.0038 (55.76%),0.0012 (91.30%),-0.0157 (16.84%),-0.0376 (11.48%),-0.0647 (1.89%),-0.0417 (50.00%),0.0044 (49.76%),0.0041 (64.23%),-0.0087 (44.79%),-0.0225 (36.49%),-0.0380 (13.57%),-0.0195 (74.16%)
15,6.0,0.0071 (63.61%),0.0408 (11.08%),-0.0264 (45.49%),-0.0594 (18.08%),-0.0394 (4.75%),-0.0913 (1.04%),0.0116 (53.45%),0.0377 (20.36%),-0.0198 (64.20%),-0.0648 (13.76%),-0.0210 (64.57%),-0.0643 (10.81%)
16,4.0,0.0101 (58.26%),-0.0027 (94.08%),0.0213 (76.35%),-0.0479 (72.92%),-0.0946 (55.86%),-0.0622 (78.35%),0.0090 (58.12%),-0.0135 (74.95%),-0.0108 (84.48%),-0.1124 (20.35%),-0.1594 (22.50%),-0.0693 (71.32%)
17,49.0,0.0076 (49.87%),-0.0014 (91.94%),-0.0357 (7.26%),-0.1003 (0.02%),-0.1081 (0.19%),-0.0969 (1.70%),0.0061 (58.44%),-0.0022 (87.60%),-0.0343 (6.17%),-0.0874 (0.02%),-0.0932 (0.08%),-0.0835 (0.56%)
Total,807.0,0.12% (30.48%),0.23% (28.47%),-0.37% (26.76%),-0.68% (20.38%),-1.4% (2.08%),-1.2% (9.82%),0.14% (20.76%),0.21% (31.74%),-0.39% (21.04%),-0.55% (27.2%),-1.13% (3.8%),-0.74% (26.08%)
