1370637,794323,732712,789019,1265888,1373715,1107694,1085280,1327811,1289419,1327567,1208208,1136893,1353283,859014,1326801,1609711,1122897,1348334,1131096,101830,1490660,1533932,1591698,1402436,1364962,1677703,1439404,1301031,816761,1448056,1627014,1087423,883980,1459200,1091667,1619954,1283699,1286225,1528396,1564708,1377013,1418091,1108524,1459417,1463172,1065088,1652044,1385867,1014473,1469433,1101215,1271024,1166691,1401680,1230276,1576169,1305294
,,,,,,,,,,,,,2015-03-11,,,,,,,,,,,,,,,,2014-05-08,,,,,,,2015-05-06,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2015-08-27,,,,,,,,,,,,,,,,2013-10-31,,,,,,,2015-03-25,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2015-05-28,,,,,,,,,,,,,,,,2012-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2015-02-26,,,,,,,,,,,,,,,,2013-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2014-11-20,,,,,,,,,,,,,,,,2013-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2019-03-25,,,,,,,,,,,,,,,,2013-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2014-08-28,,,,,,,,,,,,,,,,2013-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2014-05-07,,,,,,,,,,,,,,,,2012-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2014-05-29,,,,,,,,,,,,,,,,2017-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2014-02-27,,,,,,,,,,,,,,,,2012-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2013-08-29,,,,,,,,,,,,,,,,2012-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2013-11-21,,,,,,,,,,,,,,,,2012-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2013-04-22,,,,,,,,,,,,,,,,2011-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017-10-04,,,,,,,,,,,,,,,,2011-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2013-05-30,,,,,,,,,,,,,,,,2011-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2013-02-28,,,,,,,,,,,,,,,,2010-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2012-08-30,,,,,,,,,,,,,,,,2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2012-11-29,,,,,,,,,,,,,,,,2011-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2012-05-31,,,,,,,,,,,,,,,,2011-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2014-09-15,,,,,,,,,,,,,,,,2018-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
