,sample size,R - MKT,10d - MKT,30d - MKT,60d - MKT,90d - MKT,120d - MKT,10d - IDT,30d - IDT,60d - IDT,90d - IDT,120d - IDT
0,5.0,0.0019 (90.79%),0.0451 (53.36%),0.0146 (90.58%),-0.0383 (77.00%),-0.0435 (68.00%),-0.0428 (72.87%),0.0454 (49.60%),0.0043 (96.43%),-0.0469 (70.53%),-0.0610 (56.13%),-0.0567 (61.64%)
1,100.0,0.0009 (82.75%),-0.0064 (41.75%),-0.0206 (11.73%),-0.0601 (0.16%),-0.0787 (0.03%),-0.0973 (0.02%),-0.0003 (96.32%),-0.0017 (86.62%),-0.0217 (13.06%),-0.0257 (8.66%),-0.0337 (8.13%)
2,101.0,-0.0006 (80.47%),-0.0049 (27.29%),-0.0123 (10.38%),-0.0069 (50.14%),-0.0168 (17.05%),-0.0135 (31.65%),-0.0037 (43.34%),-0.0056 (47.96%),0.0081 (41.55%),0.0028 (80.22%),0.0032 (80.69%)
3,4.0,-0.0088 (49.16%),-0.0432 (0.37%),-0.0235 (54.10%),-0.0345 (65.89%),-0.0268 (72.08%),-0.0758 (41.41%),-0.0157 (7.87%),0.0185 (61.20%),0.0047 (93.67%),0.0113 (69.51%),-0.0395 (53.30%)
4,405.0,0.0023 (23.01%),0.0025 (45.83%),0.0047 (38.43%),0.0137 (7.01%),0.0199 (2.65%),0.0161 (10.87%),0.0019 (55.90%),0.0017 (73.81%),0.0103 (14.41%),0.0119 (14.68%),0.0123 (18.77%)
5,36.0,0.0066 (7.92%),0.0131 (12.90%),-0.0083 (49.69%),-0.0115 (55.85%),-0.0274 (32.98%),-0.0161 (65.51%),0.0114 (19.64%),-0.0125 (28.29%),-0.0177 (34.64%),-0.0375 (17.40%),-0.0345 (32.51%)
6,42.0,-0.0014 (69.63%),0.0005 (94.60%),-0.0173 (15.25%),-0.0248 (15.08%),-0.0119 (60.18%),0.0042 (86.74%),-0.0090 (19.20%),-0.0322 (0.87%),-0.0458 (0.74%),-0.0475 (2.87%),-0.0345 (14.77%)
7,130.0,0.0006 (73.23%),-0.0056 (13.94%),-0.0077 (20.15%),-0.0170 (4.21%),-0.0270 (1.37%),-0.0120 (34.94%),-0.0041 (25.48%),-0.0097 (11.01%),-0.0253 (0.33%),-0.0321 (0.42%),-0.0199 (12.77%)
8,300.0,0.0038 (7.22%),0.0061 (10.50%),0.0178 (0.83%),0.0407 (0.00%),0.0538 (0.00%),0.0624 (0.00%),0.0055 (14.30%),0.0149 (2.50%),0.0361 (0.01%),0.0458 (0.00%),0.0502 (0.01%)
9,262.0,0.0012 (39.31%),0.0045 (16.88%),0.0033 (52.54%),0.0092 (25.07%),0.0057 (55.78%),-0.0002 (98.63%),0.0040 (18.93%),0.0014 (77.89%),0.0049 (52.19%),-0.0013 (88.70%),-0.0071 (49.99%)
10,14.0,-0.0040 (66.31%),0.0163 (21.51%),0.0339 (8.33%),-0.0019 (95.44%),0.0248 (51.05%),-0.0180 (71.51%),0.0059 (62.56%),0.0183 (21.83%),-0.0248 (40.22%),0.0029 (91.67%),-0.0278 (42.09%)
11,41.0,-0.0006 (87.75%),0.0013 (84.33%),-0.0041 (69.80%),-0.0127 (41.49%),-0.0101 (55.29%),-0.0108 (58.53%),0.0004 (94.86%),-0.0016 (87.62%),-0.0099 (56.15%),-0.0092 (61.10%),-0.0088 (67.75%)
13,26.0,-0.0027 (57.88%),0.0037 (78.10%),-0.0016 (92.98%),-0.0319 (22.52%),-0.0174 (59.36%),-0.0301 (45.55%),0.0015 (90.59%),-0.0058 (75.79%),-0.0354 (17.91%),-0.0228 (48.18%),-0.0370 (34.66%)
14,3.0,0.0277 (24.71%),0.0181 (60.99%),-0.0050 (90.85%),-0.0075 (77.45%),-0.0393 (13.89%),0.0043 (97.97%),0.0099 (74.56%),-0.0144 (82.29%),-0.0162 (57.18%),-0.0703 (44.26%),0.0008 (98.41%)
15,26.0,-0.0025 (64.92%),-0.0225 (2.34%),-0.0224 (16.36%),-0.0363 (12.23%),-0.0274 (38.71%),0.0027 (94.11%),-0.0232 (0.43%),-0.0233 (7.12%),-0.0410 (3.14%),-0.0418 (9.45%),-0.0369 (19.16%)
17,48.0,-0.0042 (39.25%),-0.0157 (21.24%),-0.0238 (24.81%),-0.0385 (15.99%),-0.0608 (4.69%),-0.0649 (10.10%),-0.0108 (34.10%),-0.0207 (27.94%),-0.0349 (14.79%),-0.0556 (3.41%),-0.0622 (4.34%)
Total,1543.0,-0.0001 (95.47%),0.0006 (81.73%),-0.0015 (74.07%),-0.0043 (51.24%),-0.0066 (39.9%),-0.0109 (24.52%),0.0002 (92.76%),-0.003 (48.1%),-0.0076 (21.55%),-0.0125 (8.0%),-0.0179 (3.15%)
